blunt	钝
myrmecophyte	喜蚁植物
autocatalysis	自身催化
a	一
trichromatic	三色的
soldier	兵
gnosis	灵知
below	下面
hate	恨
intoxicated	醉
intent	意图
ESR	ESR
eel	鳗
chaffinch	花鸡
eating	食物
wholesome	健全的
commutative	交换的
frizzy	卷曲的
heller	捷克的货币单位
ballistic missile	弹道导弹
faubourg	郊外
last word	定论
paper tiger	纸老虎
specialty	擅长
capital punishment	死刑
schoolmaster	校长
bacchanal	酒神的
opulence	丰裕
overturn	倾覆
housekeeping	家事
airtight	不透气的
tube	管
australopithecine	更新纪灵长动物
painless	无痛的
arquebus	火绳钩枪
baht	泰铢
antibody	抗体
radio station	广播电台
Lilongwe	利隆圭
genuineness	真正
Anguillan	安圭拉人的
mucosal	粘膜的
ineffective	无效的
mellow	成熟的
alcove	凹室
constancy	持久性
bring forth	产
compete	比赛
cigarette	香烟
benign	良性的
suede	麂皮
adventure	奇遇
aspen	白杨
Tacitus	历史学家
antebellum	战前的
androgenic	产雄的
deafness	聋
vibe	铁琴
harp seal	琴海豹
columbium	钶
rebound tenderness	反跳痛
multicultural	多元文化的
Nablus	纳布卢斯
seize	揢
manage	管理
putrefy	腐烂
spigot	龙头
satyr	好色之徒
eggshell	蛋壳
preposition	介词
windmill	风车
Bacchus	酒神
acetify	醋化
audiometer	测听计
coeval	同时代的
immunochemistry	免疫化学
titanium oxide	氧化钛
smoked	熏制
guanaco	原驼
let go	撒
olfaction	嗅觉
wide-angle	宽角度的
gout	痛风
paradise	天堂
rime	雾凇
back up	㩍
toss	抛
export	出口
emigration	移民
culture	文化
opt out	退出宣告
intolerance	不宽容
administrative	行政
automatism	自动
crevasse	破口
lungfish	肺鱼
menstrual	月经的
Exodus	出埃及记
contact lens	隐形眼镜
capital gain	资本升值收入
feel like	意欲
inquire	问
approximately	大约
sovereign	君主
gallon	加仑
female circumcision	女性生殖器切割
convoy	护送
acquisition	获得
fosterage	养育
kenning	比喻的复合辞
midshipman	海军学校学生
postoperative	手术后的
mocker	嘲弄者
first person	第一人称
sociologist	社会学家
vice squad	刑警队
penance	赎罪
vertex	顶点
follow suit	跟着做
hectare	公顷
cancel	取消
pet	宠物
theoretically	理论上
duplicate	复本
standpoint	观点
maltreatment	虐待
conjoin	联合
emirate	君主国
hovercraft	气垫船
maintainable	可维持的
North Korean	朝鲜人
flaky	酥
unstable	㩿
funicular	索状的
gravedigger	挖墓者
harmless	䒻
icecap	冰盖
chemical engineering	化学工程
ethanol	乙醇
New Brunswick	新布伦斯威克
consult	咨
drug	药
moth	蛾
being	存在
token	筹
keeper	监护人
foe	敌
stamina	耐力
assure	保证
quadrangular	四边形的
quadripartite	分成四组的
ribbonfish	细长的带状鱼类之总称
telegrapher	报务员
bike	自行车
great-nephew	侄孙
drum roll	击鼓声
New Caledonian	新克里多尼亚的
sequester	没收
plowman	农夫
doodle	涂鸦
India ink	墨
coordinate	坐标
intelligent	聪明
canopy	林冠
kerb	路缘
guillotine	断头台
feverishly	兴奋地
Rabelaisian	粗俗幽默的
yachtsman	游艇驾驶者
Bollywood	宝莱坞
gear wheel	齿轮
pachinko	弹珠机
sheet anchor	备用大锚
Zionism	犹太复国主义
gamecock	斗鸡
Moon	月亮
seism	地震
Ukrainian	乌克兰语
Estonian	爱沙尼亚语
still	还
main	重要
formal	正式的
conquer	征服
clerk	书记
nitrogen fixation	固氮作用
ILO	国际劳工组织
whole milk	全脂奶
bacillary	杆状细菌引起的
by-election	补选
dimmer	调光器
pure mathematics	纯粹数学
influenza	流行性感冒
screwdriver	螺丝刀
afterbirth	胞衣
bamboo	竹
base	底
acacia	洋槐
impetuosity	激烈
antidepressant	抗抑郁药
hard-boiled	煮过熟了的
fried	油炸的
idolatress	女性的偶像崇拜者
neurofibroma	纤维神经瘤
perry	梨酒
rune	古代北欧使用的文字
North Island	北岛
nirvana	涅盘
phonetics	语音学
ergo	因此
auxiliary verb	助动词
hypochlorite	次氯酸盐
paternity test	试验
stump speech	政治演说
pedicel	花梗
torso	躯干
evict	赶出
liquorice	甘草
transponder	发射机应答器
frown	颦
womb	子宫
butanol	丁醇
Frenchwoman	法国女人
nihilistic	虚无主义的
ashlar	方石
latent	潜
leprous	麻疯病的
unrequited	无报答的
colour television	彩色电视
forefront	最前部
fervor	热情
Crete	克里特
judge	法官
meridian	经线
splendid	熙
corruption	腐败
sheer	峻峭
ear	耳朵
astute	㦟
inferior	劣
pockmark	麻子
negligence	疏忽
pundit	学者
biceps	二头肌
adrenaline	肾上腺素
molybdenum	钼
kneecap	膝盖骨
strike out	做成
blue fox	白狐
sandfly	蛉
bathrobe	浴衣
poor	穷
association	协会
wife	妻子
duplication	复制
chest of drawers	五斗柜
rotate	转
acknowledgement	确认
hangar	飞机库
put through	接通
aural	耳的
environmental	环境的
blackamoor	黑人
enclosure	囹
curiosity	好奇心
upcoming	即将来临的
prestidigitation	变戏法
behead	斩
sealant	密封剂
rubber band	橡皮圈
oviduct	卵管
bank	银行
nothingness	虚无
opportunity	机会
skilled	熟练的
criticism	批评
circumscription	界限
capybara	水豚
burl	节
aroma	香气
cargo	货物
ennoble	授予爵位
dishwater	洗碟的水
mendicant	化缘的
waffle	华夫饼干
greylag	雁的一种
oscilloscope	示波器
thermodynamic	热力学的
futures contract	期货合约
Adventist	耶稣再临论者
windscreen wiper	风档刮水器
nation	国家
attest	证明
be	是
watch	看
aptitude	才能
alleyway	小巷
widget	小组件
insurgent	反叛份子
citric acid cycle	柠檬酸循环
alkalimetry	碱定量法
wordless	沉默的
wyvern	双足飞龙
Dortmund	多特蒙德
pear tree	梨树
vitamin B	维生素B
cold fusion	冷核聚变
neutron	中子
pole star	北极星
horse racing	赛马
parietal pleura	胸膜壁层
meat	肉
tickle	胳肢
underline	底线
lettuce	莴苣
biochemistry	生物化学
keep on	继续
faucet	龙头
magma	岩浆
baud	波特
osteoarthritis	骨关节炎
blithe	愉快的
ethnic	种族的
obscenely	下流地
coat tree	衣帽架
dungeon	地牢
phon	方
unabated	不减弱的
sightseeing	观光
shiatsu	指压
Republic of Uzbekistan	乌兹别克斯坦共和国
Auckland	奥克兰
grotesque	古怪
persuasion	说服力
penitentiary	惩罚的
partition	隔
corvee	徭役
Russian	俄语
Oligocene	渐新世
sanguine	血红色的
jeerer	嘲笑者
latitudinarian	形式的
luteal	黄体的
moonlit	月光照耀的
planer	刨床
bowling ball	保龄球
impugn	抨击
shod	穿着鞋的
brain-teaser	脑筋急转弯
worsen	恶化
tricolour	三色旗
defame	谤
undertaker	承担者
slide	滑
aubergine	茄子
John Doe	佚名
railwayman	铁路员工
favourable	赞成的
wastewater	污水
wonted	习惯的
stole	女用披肩
merchantable	可买卖的
maxi	长大衣
shantytown	以临时搭盖的陋屋为主的地区
sinner	罪人
subconsciousness	潜意识
siesta	午睡
love affair	风流韵事
mammillary body	乳头体
red carpet	红地毯
Indiana	印第安纳州
trilobite	三叶虫
shaman	巫
incorporation	掺合
breathe	呼吸
plunger	活塞
embody	包含
injustice	冤
Essene	艾赛尼派教徒
expectant	预期的
cheek	颊
quadriplegia	四肢麻痹
reparation	补偿
candy apple	拔丝苹果
high school	中学
Gothenburg	哥德堡
hydrodynamics	水动力学
metrical foot	韵脚
backswimmer	仰泳蝽
palm off	用诡计
area	面积
critical	临界的
director	导演
alive	活
nightgown	女睡衣
campanile	钟楼
broaden	扩大
time-out	暂停
satisfactory	满意的
unwholesome	腐败的
doublethink	双重思想
flip-flop	人字拖
responsibly	可靠地
wetback	湿背人
Poseidon	波塞冬
bartender	酒保
source language	源语言
force-feed	强行喂食
public law	公法
twayblade	羊耳蒜
universalize	使一般化
ban	禁止
inhibition	抑制
phylogenesis	系统发生
innocent	无罪
aggressiveness	侵略
timidly	羞怯地
seagoing	适于远航的
horsepower	马力
poof	吹息蜡烛的声音
shoeblack	擦皮鞋的人
unaccented	无重音的
tetralogy	四部曲
ulcerous	溃疡性的
drop-off	坎
Tangiers	丹吉尔
Mass	弥撒
teens	十多岁
pentatonic scale	五声音阶
manat	马纳特
bloom	花
whitewash	白色涂料
product	产品
comet	彗星
expendable	消耗品
sternpost	船尾材
catalogue	目录
selected	选择的
morphine	吗啡
diathermy	透热疗法
immigrant	移民
infructescence	果序
ketch	一种双桅船
cartoon	漫画
nameplate	名牌
ancestress	女祖先
guesthouse	宾馆
buffoon	小丑
cotton	棉花
expire	满期
oddball	怪人
pliable	耎
housekeeper	女管家
precious stone	宝石
dispel	驱散
hub	集线器
aphelion	远日点
consent	同意
introduce	介绍
brake shoe	制动块
handedness	手型性
Republic of Finland	芬兰共和国
squaw	女人
inferiority complex	自卑感
incisor	门牙
olivenite	橄榄铜矿
Berlin	柏林
pencil	铅笔
upstream	上游
relic	遗迹
percussion	击发
Newari	尼瓦尔文
anhydrous	无水的
bicuspid	两尖齿
claret	红葡萄酒
oasis	绿洲
ownerless	无主的
goatee	山羊胡子
prehensile	适于抓住的
risotto	意大利烩饭
chandler	蜡烛制造者
boyfriend	男朋友
Japheth	雅弗
angle of incidence	入射角
thermoelectricity	热电
Burma	缅甸
quickly	快
suppress	压
embankment	塘
flush	冲洗
absurd	妄
transgressor	违反者
conical	圆锥的
static	静态的
ostensible	表面的
prolonged	曼
dit	小孔砂眼
empathic	感情移入的
slake	消除
unload	卸
hostler	马夫
ill health	不健康
zoophilia	动物恋
braid	辫子
bode	预感
pioneer	先锋
pat	拍
coffin	棺
milestone	里程碑
Homo sapiens	智人
thirst	口渴
carbon cycle	碳循环
allowance	津贴
anesthesia	麻醉
sinusitis	窦炎
ancillary	补助的
advisedly	经过考虑地
well-founded	有根据的
orchestral	管弦乐的
fatness	肥胖
sawdust	锯末
zoologist	动物学家
ballpark	球场
accusative case	宾格
tutti-frutti	蜜饯百果
Kampala	坎帕拉
Timbuktu	廷巴克图
reed	芦苇
enticing	引诱的
honey fungus	蜜环菌属
sailfish	旗鱼
succulent	多汁的
soothe	敉
Epimetheus	土卫十一
axilla	腋窝
oarsman	划手
hypochondriacal	忧郁症的
Neolithic	新石器时代
purser	事务长
Darwin	达尔文
viniculture	葡萄栽培法
numerical analysis	数值分析
squirrel	松鼠
passim	各处
ghost	鬼
mandala	曼陀罗
intelligence	情报
barite	重晶石
pustule	疙
blood cell	血球
Global Positioning System	全球定位系统
growl	吼
pharmacological	药理学的
newel	中心柱
Annunciation	天使报喜节
abbreviated	小型的
capacitive	电容的
conveniently	随手
Hollywood	好莱坞
harpy	角雕
digital watch	数字显示式电子表
steroidal	甾族的
Atlas Mountains	阿尔及利亚
answer	回答
propagandist	宣传者
leaf beetle	叶甲科
officeholder	官员
tappet	梃杆
elaborate	推敲
haemorrhage	出血
monition	训诫
smart	聪明
droplet	小滴
Aleutian Islands	阿留申群岛
Holy Spirit	圣灵
varmint	淘气鬼
rhombus	菱形
nitrile	腈
roll over	逝世
four-dimensional	四维的
bottom quark	b 夸克
contact sport	身体接触的项目
polarization	极化
stanchion	支柱
dustbin	垃圾箱
bobtail	短尾
salat	礼拜
terrify	骇
yogurt	酸奶
energetically	积极地
well-to-do	富有的
assumption	假设
committed	待发
Austria-Hungary	奥匈帝国
sufficiency	充分
recreate	得到娱乐
storey	层
manic depression	躁郁症
Bahraini	巴林人
obsolescence	退化
Pyrrhus	皮拉斯
Madrid	马德里
dichotomy	二分法
drawer	抽屉
lacquer	漆
pregnant	怀孕
option	期权
consequence	结果
lengthen	加长
Mongol	蒙古人
populous	人口稠密
well-defined	定义明确的
demagogy	煽动家之行为
disfigure	变丑
riskless	零危险的
typhoid fever	伤寒
flamen	祭司
Grus	天鹤座
water vole	水
brown hyena	棕鬣狗
cDNA	互补DNA
antinomy	二律相悖
fill in	填
assembly	集会
parasympathetic nervous system	副交感神经系统
residual	剩余的
cephalic	头的
sawmill	锯木厂
skim	浏览
boson	玻色子
crescendo	渐强
wimple	起涟漪
legalise	合法化
underpass	地下通道
mustard gas	芥子气
weighbridge	地秤
meanwhile	同时
tonality	音调
nocturne	夜曲
main drag	要道
musical instrument	乐器
smear	抹
digger	挖掘者
audio	音频
expatriate	放逐
abroad	国外
beery	啤酒的
bronchoscope	气管镜
discontent	不满
middling	中等的
election	选举
tenthly	在第十
vellicate	抽动
waistcoat	背心
bus stop	巴士站
glottis	声门
wickedness	䨿
collider	碰撞机
charm quark	粲夸克
supremacist	至上主义者
tour	旅游
abdicate	辞职
supposition	假定
mandate	命令
vacillation	不果断
cluster bomb	集束炸弹
kanamycin	卡那霉素
leadership	领导能力
permanganate	过锰酸盐
softy	多愁善感的人
staysail	支索帆
Edmonton	埃德蒙顿
dewlap	垂肉
humpback whale	座头鲸
foyer	休息室
counterpane	床罩
sebaceous gland	皮脂腺
water softener	水软化剂
abseil	滑下法
Hebrides	赫布里底群岛
novel	小说
mainframe	主机
parry	搪
lecher	好色之徒
ancestry	祖先
cent	分
steam coal	动力煤
blanket	毯
con	从反面
assegai	南非土人所用的标枪
soda ash	纯碱
studious	努力的
debtor	债务人
fruition	结果实
duct	管
public relations	公共关系
refugee camp	难民营
shot put	推铅球
bratwurst	德国碎肉香肠
day	日
ordinary	凡
divinity	神
scrub	擦
movie star	电影明星
value	价值
convince	说服
ton	顿
transparent	透明
rum	兰姆酒
discount	折扣
thicken	变厚
docker	码头工人
outfit	装备
ingest	摄取
logistic	逻辑的
notable	显著的
imprudent	轻率的
quicksand	流沙
vector product	矢积
pimp	拉皮条
suspicious	怚
bulgur	焦干碎麦
van	货车
typescript	以打字打的文件
abridged	省略的
gastric	胃的
hymnal	赞美诗集
neurophysiology	神经生理学
shearwater	海鸥类飞鸟
sluggard	偷懒者
proteomics	蛋白质组学
Sophocles	索福克勒斯
neckerchief	颈巾
dune	沙丘
inchworm	尺蠖
drollery	笑话
Einsteinian	爱因斯坦的
Zimbabwean	津巴布韦的
country	国家
grasp	握
copper	铜
disambiguation	澄清
evade	逃避
Jeremiah	耶利米
infernal	阴间的
activate	激活
cologne	科隆香水
voyeurism	窥淫癖
isogon	同风向线
wolverine	狼獾
tabun	塔崩
astrophysicist	天体物理学家
veneration	崇拜
Octans	南极座
Europeanisation	欧化
triumphal arch	凯旋门
rub	擦
benchmark	基准
bugbear	怪物
routine	常规
countenance	皃
cannibalism	食人
orbiculate	球状的
breast-fed	吃母奶的
strained	紧张的
cloche	钟形女帽
thirty-second note	三十二分音符
ESE	东南东
nervously	焦急地
solidarity	团结
figure skating	花样滑冰
information science	信息学
sparkling wine	汽酒
inkling	端倪
fundamental analysis	基础分析
Caribbean	加勒比
Holland	荷兰
lot	命运
parr	幼鲑
traditional	传统
fascinate	迷住
poverty-stricken	窘促
simile	直喻
Plutarch	希腊的历史家
hundred	百
russet	赤褐色
concatenate	如锁链般连续
editorship	编辑的地位
enjambment	跨行连续
peril	危险
smoking	抽烟
tetrachloromethane	四氯化碳
whoremonger	拉皮条者
probate court	遗嘱检验法庭
consistently	坚实地
commission	佣金
serving	服务
lousy	蹩脚
simple	简单
living	生
haply	或许
beckon	召唤
pleasant	愉
mend	补
plateau	高原
mastiff	獒
chalice	圣餐杯
nonconformist	非国教徒
Greco-Roman	希腊罗马
pettifogger	讼棍
French horn	法国号
Death	死神
double-breasted	双排钮扣的
Micronesia	密克罗尼西亚
regiment	团
lion	狮子
speckle	斑点
skipper	船长
bastnaesite	氟碳铈矿
pood	俄国的重量单位
gestalt	格式塔
webbed	作成蜘蛛网状的
mew	海鸥
picosecond	微微秒
paradigm	范例
aspirator	吸气器
duckweed	萍
money market	货币市场
information technology	信息技术
dinosaur	恐龙
usurpation	篡夺
occluded front	锢囚锋
teach	教
broom	扫帚
approve	批准
familiar	熟悉
liqueur	利口酒
recalcitrant	㬔
botulinum toxin	肉毒杆菌毒素
tab	标签
chevron	山形袖章
practicable	可实行的
prejudiced	偏
desertification	沙漠化
Devanagari	天城文
nail polish	指甲油
clack	噼啪响
nurturance	养育
heat wave	热浪
count noun	可数名词
scops owl	耳鸟
point of no return	不可返回点
denounce	谴责
redemption	赎回
ingot	锭
tempting	诱惑人的
Achaea	亚该亚
epic	史诗
callow	年轻而无经验的
brazen	黄铜制的
bowdlerize	删改
littoral	沿岸
molal	重量克分子的
housemate	室友
long-legged	长腿
papillose	有小乳头突起的
peruke	长假发
settee	沙发
essential amino acid	必需氨基酸
tenderloin	腰部嫩肉
generalist	多面手
Persian Gulf	波斯湾
once	一次
metatarsus	跖
water strider	水黾
abide	忍受
Orthodox	正教
mountainside	山腹
advent	到来
dry ice	干冰
animalize	使动物化
plethoric	过多的
experimentally	实验式地
simple machine	简单机械
homebody	宅男
purism	纯粹主义
revalue	再评价
razor	剃刀
swimsuit	游泳衣
Gaul	高卢
junk DNA	垃圾DNA
La Paz	拉巴斯
clasp	扣子
holder	支持物
congruent	符合的
valid	有效的
presently	俄顷
rumor	谣
copra	干椰肉
eyelessness	无眼
arsonist	纵火犯
eleventh	第十一
quarry	采石场
glassworks	玻璃厂
diarist	日记作者
Madonna	圣母玛利亚
high altar	主祭台
tongue depressor	压舌板
renal corpuscle	肾小体
fin keel	鳍状龙骨
Panama City	巴拿马城
chukker	马球戏的一回
general	普
pry	撬
gargantuan	汪洋
all-knowing	全知的
mesh	网孔
platypus	鸭嘴兽
idolater	偶像崇拜者
benzoate	安息香酸盐
carom	一击连撞二球
sacristan	教堂收藏室的管理人
usurer	高利贷
thermos	热水瓶
joss stick	香
titrate	滴定
split end	劈头
gregariousness	群集性
entrenching tool	开沟铲
template	模板
cuttlefish	乌贼
verification	作证
Azerbaijani	阿塞拜疆文
thallium	铊
formatting	格式化
gracefully	温文地
clouded	阴的
clapperboard	场记板
plough	犁
glimmer	微光
mathematical	数学的
earthquake	地震
antonymy	反义词组
kidney stone	肾结石
no longer	不再
Yorkshire	约克郡
lycanthrope	狼人
nom de guerre	假名
electric dipole	电偶极子
upper class	上类
Chinese lantern	灯笼
alley	弄
bottle	瓶
seizure	夺取
benzodiazepine	苯二氮䓬
header	页眉
rule of law	法治
subtotal	小计
roseate	玫瑰色的
decent	正派的
trouble-free	无故障的
crosspatch	脾气坏的人
liquefiable	可溶解的
tropic	回归线
valediction	告别
myalgia	肌痛
dilate	㠭
little grebe	小鸊鷉
hyaluronic acid	透明质酸
shadow	阴影
crack	裂缝
bosom	胸
pillage	掠夺
civilization	文化
transmission	传输
radiocarbon dating	放射性碳纪年法
Pindar	品达希腊抒情诗人
firedog	柴架
organist	风琴弹奏者
tribunal	法庭
telomere	端粒
instep	跗
chess player	棋手
hadron	强子
significant digit	有效数字
proturan	原尾目昆虫
Cappadocian	卡帕多细亚的
syndicalism	工会组织主义
stink	臭
crap	屎
uphold	㧇
crow	乌鸦
excoriation	表皮脱落
old-fashioned	古板
painful	痛
relatively	比较
erogenous	唤起情欲的
steam	蒸汽
freshman	新生
dentist	牙医
Dionysus	狄俄倪索斯
Londoner	伦敦人
digestive tract	消化道
naturalness	自然
Parvati	帕尔瓦蒂
electron volt	电子伏特
lily pad	睡莲叶子
Ionian Sea	爱奥尼亚海
merge	合并
inquest	审讯
peptide	肽
loam	壤土
glider	滑翔机
seeing	视力
fiery	烈
pyrite	黄铁矿
Slovakia	斯洛伐克
monumental	纪念碑的
ropy	粘稠的
acerbic	酸的
ferule	教鞭
verisimilitude	逼真
Linear A	线形文字A
impalement	穿刺
absorptivity	吸收率
existentialism	存在主义
isosceles triangle	等腰三角形
row	排
apprise	通知
suffocation	窒息
ape	猴子
then	当时
cheerful	愉快
automate	自动化
unclouded	晴朗的
fencer	剑术家
carefree	恝
fascism	法西斯主义
sough	飒飒之声
babbitt	巴比特合金
Zion	锡安
tryptophan	色氨酸
promulgation	普及
White House	白宫
theory of relativity	相对论
subcontinent	次大陆
sleep with	上床
quarter	四分之一
slut	荡妇
lass	少女
wordy	唠叨的
sartorial	裁缝的
peritoneum	腹膜
pagan	异教徒
flawed	有缺陷
epicardium	心外膜
war	战争
tactile	触觉的
hygiene	卫生
animated cartoon	卡通片
differential equation	微分方程
modicum	少量
sadness	悲伤
ritually	依据仪式上地
black-necked grebe	黑颈鸊鷉
earlier	先
indication	指示
fork	叉
gospel	福音
interpreter	译员
underhanded	卑劣的
Arctic	北极
bauble	小玩意
pastoral	牧歌
ethnocentrism	民族优越感
fish slice	分鱼刀
mauve	淡紫色
microcosmic	微观的
giant armadillo	大犰狳
glasses	眼镜
booklet	小册子
aurora australis	南极光
nymphomania	慕男狂
barrelful	一桶之量
forenoon	午前
most	最
penis	阴茎
distrain	扣押
bunt	短打
engraving	雕刻
yawl	舢板
Setswana	茨瓦纳语
creosote	木馏油
unreasonable	不合理的
cambium	形成层
columbarium	骨灰安置所
tactful	机智的
rentier	食利者
