covenant	ஒப்பந்தம்
broaden	விரிவு படுத்து
critical	முக்கியமான
expectant	எதிர்பார்க்கிற
aubergine	கத்தரிக்காய்
sinner	கொடும்பாவி
high school	உயர்நிலை பள்ளி
undertaker	ஈமச்சடங்கு மேற்பார்வையாளர்
flip-flop	ஊசலாடு
Indiana	இந்தியானா
Poseidon	போசீடான்
palm off	கையை மறை
metrical foot	சீர்
shaman	மாந்திரிகன்
incorporation	தொழிலிணையம்
aphelion	வால்வெள்ளி
comet	வால்வெள்ளி
catalogue	பட்டியல்
consent	சம்மதம்
ancestress	மூதாதையர்
bloom	மலர்
ban	தடை செய்
buffoon	கோமாளி
cotton	பருத்திப் பஞ்சு
cartoon	கேலிச்சித்திரம் வரை
expire	இற
product	பொருள்
guesthouse	சிற்றுண்டிச்சாலை
hub	குவியன்
innocent	அப்பாவி
immigrant	குடியேற்றவாசி
morphine	விலியை நீக்கி தூக்கத்தை தருதல்
nameplate	பெயர்ப் பலகை
selected	நன்கு தேர்வு செய்யப்பட்ட
whitewash	வெள்ளையாக்கு
Mass	மாஸ்
universalize	பொதுவாக்கு
incisor	முன்வாய்ப்பல்
horsepower	குதிரைத்திறன்
Burma	மியான்மார்
Berlin	பெர்லின்
Republic of Finland	பின்லாந்து
braid	இழை
suppress	அடக்கு
flush	துண்டு
static	மாறா
slake	தணி
embankment	அணைக்கட்டு
dispel	அழித்தல்
quickly	விரைவாக
absurd	காரண காரியத் தொடர்பற்ற
introduce	அறிமுகப்படுத்து
boyfriend	காதலன்
unload	பிரி
squaw	மனைவி
goatee	ஆட்டுத் தாடி
inferiority complex	தாழ்மை உணர்வு
oasis	பாலைவனச்சோலை
pencil	பென்சில்
pliable	வளையத் தக்க
chandler	கடைக்காரர்
precious stone	கல்
bode	அறிகுறியாகு
Newari	நேபால் பாசா
axilla	அக்குள்
intelligence	நுண்ணறிவு
accusative case	இரண்டாம் வேற்றுமை
soothe	ஆறுதல் அளி
allowance	வருவாய்
ghost	பேய்
fatness	புட்டி
coffin	சவப்பெட்டி
growl	சீறு
milestone	மைல்கல்
pioneer	முன்ணோடி
pat	ஒத்தடம் கொடு
squirrel	அணில்
thirst	தாகம்
Darwin	டார்வின்
Hollywood	ஹாலிவுட்
reed	நாணல்
enticing	மயக்குகை
Kampala	கம்பாலா
answer	விடை
elaborate	விரிவாக்கு
smart	நுண்ணறி
yogurt	தயிர்
committed	ஈடுபடுதல்
conveniently	தக்கவாறு
storey	மாடி
dustbin	குப்பைத் தொட்டி
sufficiency	தாராளம்
pustule	பரு
assumption	செருக்கு
rhombus	செவ்வகம்
droplet	வியர்வை
terrify	திகிலூட்டு
Global Positioning System	பூமியில் இடத்தைக் காட்டும் கருவி
roll over	உருளுதல்
haemorrhage	குருதிப்பெருக்கு
musical instrument	இசை கருவி
flamen	செவ்வாய்
audio	கேட்பொலி
assembly	கூட்டம்
consequence	கணக்கு
expatriate	தாழ்த்து
smear	பூசு
pregnant	கருத்தரி
drawer	இழுப்பறை
digger	தோண்டி
lengthen	நீடி
fill in	பதிலாக இரு
meanwhile	இந்த இடை நேரத்தில்
option	வேண்டியதை தெரிந் தெடுக்கும் உரிமை
riskless	ஆபத்தில்லாத
underpass	சுரங்கப்பாதை
disfigure	கெடு
lacquer	பளபளப்பாக்கு
skim	கண்ணோட்டம் செலுத்து
typhoid fever	அதிசாரசன்னி
boson	முழுச்சுழலி
mandate	கட்டாயமாக்கு
fruition	அனுபவம்
leadership	தலமை தாங்கி நடத்துவதற்கான திறமை
discontent	அதிருப்தி
ancestry	வம்ச பரம்பரை
abridged	சுருக்குதல்
abroad	சீமை
parry	தடு
wickedness	பாவம்
dewlap	தாடி
duct	பை
bus stop	பேருந்து நிறுத்தம்
supposition	நினைவு
vacillation	அசைவு
election	தேர்தல்
tour	சுற்றுப்பயணம் செய்
foyer	முன்றில்
novel	புதினம்
con	ஏமாற்று
public relations	பொதுமக்கள் தொடர்பாளர்
studious	படிப்பில் கெட்டி
debtor	அதமர்ணம்
Edmonton	எட்மன்டன்
day	நாள்
copper	செப்பு
country	நாடு
activate	தூண்டு
convince	தூண்டு
thicken	கட்டு
value	மதி
discount	தள்ளுபடி
blanket	போர்வை
outfit	பொருத்து
van	கூடு உந்து
divinity	தெய்வம்
drollery	கேளிக்கை
ingest	சாப்பிடு
notable	பிரசித்தமான
imprudent	விவேகமற்ற
sluggard	சோம்பேறி
ordinary	சாதாரணமாக
neckerchief	கழுத்துக் குட்டை
quicksand	புதை மணல்
scrub	துலக்கு
ton	ஒரு தொன்
transparent	தெள்ளத் தெளிந்த
pimp	கூட்டிக்கொடுப்போன்
triumphal arch	சயமரம்
Jeremiah	எரேமியா
veneration	வணக்கம்
countenance	முகம்
rub	தேய்
lot	நிறைய
evade	தவிர்
grasp	பிடி
peril	ஆபத்து
fascinate	மயக்கு
simile	உவமையணி
astrophysicist	விண்வெளியைப் பற்றி ஆய்வு செய்பவர்
benchmark	பணி மதிப்பீட்டு அளவை
routine	வழக்கமான
hundred	நூறு
Holland	நெதர்லாந்து
smoking	புகைச் சின்னம்
bugbear	வெருளி
concatenate	சங்கிலிக்கோவை ஆக்கு
infernal	பயங்கரமாக இரு
whoremonger	கூத்திக்கள்ளன்
information science	kanipori arivial
wolverine	வால்வரின்
lion	சிங்கம்
commission	தரகு
simple	எளிமையான
consistently	ஒத்த
pleasant	அன்பாக இரு
living	பிழைப்பு
beckon	சைகைசெய்
clack	உளறு
paradigm	உதாரணம்
information technology	தகவல் தொழில்நுட்பம்
mend	சரிப்படுத்து
nail polish	நகச்சாயம்
plateau	பீடபூமி
serving	தண்டனை அனுபவி
Devanagari	தேவநாகரி
Caribbean	கரீபியன்
mew	சத்தம் போடு
duckweed	நீர்ப்பாசி
Micronesia	மைக்ரோனேஷியா
French horn	மோர்சிங்
dinosaur	தொன்மா
tab	தத்தல்
denounce	குற்றம் சாட்டு
abide	கடைப்பிடி
advent	வருகை
approve	இணங்கு
broom	துடைப்பம்
teach	கற்பி
epic	காவியம்
familiar	நெருக்கமாக இரு
once	ஒருமுறை
redemption	மீட்பு
razor	சவரக் கத்தி
Persian Gulf	பாரசீக வளைகுடா
dry ice	ஈரமில்பனிக்கட்டி
desertification	பாலைவனமாதல்
Azerbaijani	அசாரி
thallium	தல்லியம்
template	வார்ப்புரு
clasp	மடக்கு
mesh	ஒத்துப்போ
copra	கொப்பரை
presently	அடுத்து
general	பழகிப்போ
verification	அதிகார மளித்தல்
eleventh	பதினொராவது
holder	உரிமையாளர்
plough	உழு
quarry	கற்சுரங்கம்
rumor	வதந்தி
glimmer	கண் சிமிட்டு
Panama City	பனாமா
pry	நோண்டு
carom	அசமடம்
sacristan	சங்குஸ்தான்
diarist	தினசரிதக்காரன்
shadow	நிழல்
crack	நெரி
header	தலைப்பு
alley	நடை
transmission	கடத்தி
seizure	பற்று
pillage	பறி
bosom	மார்பு
bottle	புட்டி
cuttlefish	கணவாய்
formatting	வடிவமைத்தல்
dilate	விரிதல்
earthquake	நிலநடுக்கம்
instep	படம்
roseate	ரோஜா நிறமுள்ள
tribunal	தீர்ப்பாயம்
tropic	பூமியின் மத்திய வலயப் பகுதி
Parvati	பார்வதி
myalgia	சூலைநோய்வகை
telomere	முனைக்கூறு
crow	காகம்
merge	இணை
fiery	எரி
seeing	காட்சி
ape	குரங்கு
then	பிறகு
civilization	நாகரிகம்
promulgation	பிரசாரம்
carefree	கவலையற்று
steam	ஆவி
dentist	பல் மருத்துவர்
uphold	ஆதரி
excoriation	தேமல்
loam	சகதி
painful	வேதனை நிறைந்த
ropy	விறைப்பான
subcontinent	துணைக்கண்டம்
Slovakia	ஸ்லோவாகியா
stink	நாறு
fencer	அடிகாரன்
impalement	கழுவேற்றம்
inquest	பஞ்சாயாத்துநாமா
Linear A	லினியர் ஏ
theory of relativity	சார்புக் கோட்பாடு
row	வரிசை
war	போர்
fork	பிரி
indication	அடையாளம்
automate	தன்னிச்சையான
Arctic	வட துருவ
earlier	முன்னர்
quarter	கால்
sadness	வருத்தம்
flawed	விரிசல் அடை
lass	சிறுமி
glasses	மூக்குக் கண்ணாடிகள்
hygiene	சுகாதாரம்
interpreter	மொழிபெயர்ப்பாளர்
slut	விபச்சாரி
White House	வெள்ளை மாளிகை
cheerful	முகம் மலர்
pagan	அஞ்ஞானி
bauble	தட்டுக்கொட்டு
suffocation	திக்குமுக்கு
sleep with	wokardhu
penis	ஆண் குறி
yawl	படகு
engraving	செயல்
bunt	முட்டு
anarchy	அராஜகம்
acceleration	முடுக்கம்
booklet	சிறுநூல்
compass	திசைகாட்டி
forenoon	நாள்
outrage	அவமதிப்பு
hand grenade	எறி குண்டு
most	அநேகமாக
overlap	ஒன்றுக்கு மெல் ஒன்று
pager	தொலை அழைப்பான்
sweeper	துப்புரவாளர்
tactful	நயமுடன்
snort	சத்தம் போடு
viceroy	மண்டலீகன்
almond tree	வாதுமை
Nov	நவ.
method	விதம்
strip	பறி
detect	கண்டுபிடி
sway	தட்டு
barrage	போடு
excitement	குழப்பம்
aromatic	வாசனையுள்ள
treble	மூன்று மடங்கு
husband	கணவன்
askew	ஒருச்சாய்ந்து
brochure	சிறு வெளியீடு
obfuscate	திகைக்க வை
cannibal	நரமாமிசம் உண்ணி
finalize	செய்துமுடி
dividend	ஈவுத்தொகை
earring	தோடு
life style	வாழ்க்கை முறை
muff	கோட்டை விடு
Sagittarius	தனு இராசி
singular	ஒருமை
Ghana	கானா
Union of Soviet Socialist Republics	சோவியத் சோசலிசக் குடியரசுகளின் ஒன்றியம்
patronymic	குடிப்பெயர்
namesake	பேராளி
Thai	தாய்
lift	மின்தூக்கி
manner	வகை
rivalry	போட்டி
simplicity	எளிமை
trouble	கவலை
turn away	திருப்பு
explore	ஆராய்தல்
duster	அழிப்பான்
representative	பிரதினிதி
entrepreneur	தொழில் அதிபர்
economical	சிக்கனமாக இரு
electrical	மின்
jihad	ஜிகாத்
mutton	ஆட்டு கறி
malaria	மலேரியா
strap	வார்
tadpole	தவளைக்குஞ்சு
translation	மொழிபெயர்ப்பு
Tanzania	தான்சானியா
Eve	ஏவாள்
varicose vein	சுருட்டைநரம்பு
obviously	தெட்டத்தெளிய
perspire	புழுங்கு-தல்
military police	போலீஸ்
sunfish	கருவை திருக்கை
plywood	ஒட்டு பலகை
Azeri	அசாரி
Afghanistan	ஆப்கானிஸ்தான்
module	பிரிவு
slip	தவறு
den	மந்திரம்
admonish	கண்டி
belfry	மாதா கோவிலிலுள்ள மணிகூண்டு
damn	திட்டு
intestine	குடல்
dative case	நான்காம் வேற்றுமை
debut	அரங்கேற்றம் செய்
enslave	ஆட்கொள்
he	அவன்
translator	மொழிபெயர்ப்பாளர்
noun	பெயர்ச்சொல்
preparedness	ஆயத்தமாயிருத்தல்
Nazism	நாசிசம்
tamarisk	சிறுசவுக்கு
sexual relation	udaluravu kolludal
expression	முகக்குறி
fuzzy	மங்கு
involve	இழு
artisan	தொழில் நிபுணன்
wear	மாட்டு
comport	ஏற்றுக்கொள்
deranged	குலை
chorus	கோயிற்பாடகர் குழு
computer science	கணினியியல்
paraphrase	சுற்றிவளைத்துப்பேசு
windpipe	மூச்சுக்குழல்
gangster	தாதாக்கள்
generator	ஜனனி
knife	கத்தி
large intestine	பெருங்குடல்
memorandum	உத்தரவுக் கடிதம்
mosque	மசூதி
parachute	குடைப்பிடித்து இறங்கு
specialist	நிபுணர்கள்
voltmeter	மன்சாரசக்தி அளக்கும் கருவி
Mumbai	மும்பை
Iberian Peninsula	ஐபீரிய மூவலந்தீவு
pantomime	அபிநயம்
Seine	செய்ன் ஆறு
Hindi	ஹிந்தி
beetle	வண்டு
demon	அரக்கன்
fabrication	கட்டுரை
business	தொழில்
decoration	அலங்காரம்
strike	அடி
collect	சேகரி
probably	ஏறக்குறைய
annihilate	அழித்துவிடு
expertise	தொழில் நுட்ப அறிவு
conflagration	சுவாலை
openness	வெளிப்படை
put forward	விதை
souvenir	பயண நினைவுப் பொருள்
paleness	சுக்கிலம்
denationalize	தேசியமயத்தரத்தை நீக்கு
sprawl	அலங்கோலமா கிட
chyle	இரசம்
indigent	எளிய
Taoism	தாவோயியம்
condition	நிலை
arsenic	பாசாணம்
Belgrade	பெல்கிரேடு
margin	ஓரம்
vet	தேர்ந்தெடு
hack	வெட்டு
grief	துக்கம்
farrier	கொல்லர்
dance	ஆடு
water buffalo	நீர் எருமை
night	இரவு
easygoing	உடம்பு நலுங்காத
wise	சாது
finagle	சமாளி
sustainable	தொடர்ச்சியாக
woozy	மயக்கமாக இரு
contrarily	அழித்து
greaves	காற்கவசம்
agate	கொக்குக்கல்
Delphinus	டெல்பினசு
downgrade	தாழ்த்து
degree	பல்கலைக்கழகப் பட்டம்
remit	அனுப்பு
lob	போடு
marvel	அதிசயம்
perpetually	எப்பொழுதும்
absolution	மன்னிப்பு
attorney	வக்கீல்
whoop	கத்து
bark	பட்டை
froth	நுரை
needless	தேவையற்ற
possibility	சாத்தியம்
look back	திரும்பிப் பார்
forester	பொறையிலான்
emotion	உணர்ச்சி வேகம்
spy	துப்பறி
adequacy	சமமாக அல்லது போதுமானதாக இருத்தல்
superior	உயர்வான
aesthetics	எழில்
aggravate	கலை
cheat	மோசடி செய்
inheritance	ஆட்சி
bin	குப்பைத்தொட்டி
calumny	குஞ்சம்
burnish	மெருகிடு
barrier	தடை
capitulation	விநியோகம்
disservice	நஷ்டம்
notebook	நோட்டுப்புத்தகம்
epee	வாள்
jeopardize	ஆபத்துக்குள்ளாக்கு
Gothic	கோதிக்
vanadium	பழீயம்
dry	காய்
summarize	சுருக்கு
abbot	மடாதிபதி
go for	வில்
initiate	ஆரம்பி
mercy	இரக்கம் காட்டுதல்
lease	குத்தகை
crab	நண்டு
personality	மனோபாவம்
stove	அடுப்பு
alligator	முதலை
wilderness	காடு
commonly	பொதுவாக
smile	புன்னகை
laser	ஒளிக்கதிர்
microfilm	நுண்படலம்
optimist	எக்கச்சக்கமான நம்பிக்கையர்
needlework	தையல்
carnage	கொன்றுகுவிக்கை
corkscrew	சங்குதிருகி
ant	எறும்பு
blindness	குருட்டுத்தன்மை
accident	விபத்து
consultant	ஆலோசகர்
pardon	மன்னித்தல்
patience	போறுமை
convalescence	குணம்
coincidence	தற்செயல்
colleague	சக பணியாளர்
pervade	நிரப்பு
joint-stock company	நிதி
tambourine	கஞ்சிரா
waitress	உணவு பரிமாறும் பெண்
Vanuatu	வனுவாட்டு
potter	கலந்தருநன்
dermatology	தோலியல்
hamburger	பர்கர்
weapon	ஆயுதம்
Spain	ஸ்பெயின்
trigger	தூண்டு
eightfold	எட்டு மடங்கு
globalisation	உகலமயமாக்கல்
unable	இயலாத
foliage	இலை
Bucharest	புக்காரெஸ்ட்
regular	ஒழுங்காக
gigabyte	ஜிகாபைட்
frustrate	தடு
acid	அமிலம்
captivity	அடிமைத்தனம்
prevent	தடு
articulation	மூட்டு
mess up	கலை
gang	கூட்டம்
atomic mass	அணுத் திணிவு
distrust	அவநம்பிக்கை
lawn	புல்வெளி
lintel	தலைவாயில்
threefold	மும்மடங்கு
Abu Dhabi	அபுதாபி
collude	கூடிச் சதிசெய்
coop	கூட்டில் அடை
hangman	தலைவாங்கி
expressway	விரவுச்சாலை
caffeine	காஃவீன்
yen	யென்
North Korea	வட கொரியா
tellurium	வெண்கந்தகம்
genuine	அசலாய் இரு
ingenuity	குழு
solve	கண்டுபிடி
smart card	சூட்டிகை அட்டை
missing	தவறிய
beautifully	அழகாக
extremity	எல்லை
definitely	நிச்சயமாக
forklift	உயர்த்தி
fungus	பூஞ்சைகள்
generalize	பொதுமைப்படுத்து
polite	பணிவான
pool	குளம்
seaweed	கடற்பாசி
Algeria	அல்ஜீரியா
hippocampus	நீர்க்குதிரை
theosophy	பிரமஞானம்
lute	வீணை
coagulate	கட்டு
impression	எண்ணம்
reliability	நம்பகம்
principle	கொள்கை
persistence	சளைக்காத குணம்
counteraction	தாக்கம்
entirety	எல்லாம்
deserve	வேண்டும்
uncommonness	அருமை
duel	இருவர் போராட்டம்
runner	ஓட்டம்
cashew	முந்திரிப் பருப்பு
impartially	நடுநிலையாக
obvious	கண்கூடு
receiver	பெறும் கருவி
turkey	வான்கோழி
fetlock	காற்குழைச்சு
Tulu	துளுவம்
cask	பிப்பா
string	சரம்
treatise	ஆய்வறிக்கை
egg	முட்டை
spread	பரப்பு
account book	சேமிப்புப்புத்தகம்
ambassador	தூதர்
antagonism	விரோதம்
absorbency	உருஞ்சக்கூடிய
annul	முறி
barefoot	வெறுங்கால்
comfortable	வசதியாக இரு
work out	நினை
instantaneously	உடனே
jellyfish	இழுது
steepness	குத்து
parentless	பெற்றோர் இல்லாத
twice	இரு முறை
koala	கோவாலா
ascites	பாண்டு
blister	கொப்பளி
whelp	குட்டி போடு
overpay	அநியாயத்திற்குக் கொடு
dirge	சரமகவி
sunstroke	மூளைக்கொதிப்பு
vocabulary	அகரமுதலி
Ecuador	ஈக்வடார்
bilberry	அவுரிநெல்லி
superintendent	நிர்வாகி
entitle	உரிமையளி
squirt	நீக்கு
necklace	மாலை
abbreviate	சுருக்கு
evidence	சாட்சி
near	கிட்ட
spatula	துடுப்பு
shrine	புண்ணியத்தலம்
vagina	யோனி
word order	சொற்தொடர்
gamble	பந்தயம் பிடி
hallucinate	பிரமையளி
invisible	கண்ணுக்குத் தெரியாத
romp	குதி
shooting	துப்பாக்கி சூடு
space walk	விண்வெளியில் நடத்தல்
Perth	பேர்த்
fateful	விதிவசமாகு
porpoise	நீர்ப்பன்றி
advertisement	விளம்பரம்
prepare	உருவாக்கு
validation	செல்லுபடியாக்கம்
annually	வருடா வருடம் ஆண்டுதோறும்
nutrient	ஊட்டப் பொருள்
sapphire	நீலக்கல்
cadence	தாளம்
workshop	பணிமனை
confute	மறு
hearth	அடுப்பு
whine	புலம்பு
mandolin	இல்லை
radioactivity	கதிரியக்கம்
smoker	புகைப்பவர்
crochet	பின்னு
recur	சுற்றிச் சுற்றி வா
dolphin	ஓங்கில்
footstool	பாதபீடிகை
Shreveport	அமெரிக்க
valley	பள்ளத்தாக்கு
falsehood	பொய்
dynamic	இயக்கம்
acne	முகப்பரு
