explanation	maelezo
debtor	mdaiwa
novel	riwaya
cent	senti
ancestry	asili
vacillation	wasiwasi
supposition	dhana
election	uchaguzi
discontent	lawama
tour	-tembea
parry	-bekua
public relations	utangazaji
bus stop	standi
assegai	sagai
shot put	kurusha chuma kizito
Edmonton	Edmonton
humpback whale	nyangumi-kibyongo
transparent	safi
pimp	buzi
divinity	umungu
country	nchi
day	siku
value	thamani
ingest	meza
blanket	blanketi
outfit	nguo
copper	shaba
activate	amilisha
ordinary	-a kawaida
convince	-hakikisha
thicken	-ganda
scrub	-sugua
ton	tani
discount	kipunguzi
van	rukwama
neckerchief	kashida
drollery	kasheshe
Zimbabwean	Mzimbabwe
quicksand	mchanga wa kudidimiza
Jeremiah	Yeremia
countenance	uso
grasp	-shika
peril	hatari
whoremonger	buzi
routine	desturi
evade	-epa
hundred	mia
lot	kura
fascinate	-tamanisha
rub	-sugua
traditional	kienyeji
simile	kibadala
smoking	kifukizo
bugbear	mduma
solidarity	ujoli
Holland	Uholanzi
concatenate	funganisha
cologne	nukta pacha
wolverine	wolverini
count noun	dola
simple	rahisi
lion	simba
regiment	jeshi
commission	tume
serving	mlo
pleasant	-anisi
chalice	kasiki
beckon	-pungia mkono
speckle	waa
mend	-tengeneza
living	hai
haply	labda
paradigm	namna
usurpation	unyangʼanyi
prejudiced	pendelevu
Caribbean	Karibiani
double-breasted	maradufu kidari
French horn	baragumu ya kifaransa
Devanagari	Kidevanagari
Micronesia	Mikronesia
nail polish	rangi ya kupaka kwenye kucha
approve	-ridhia
broom	ufagio
scops owl	kilio
littoral	mrima
teach	-fundisha
once	kamwe
advent	majilio
razor	wembe
abide	pokea
homebody	mkaa
redemption	ukombozi
ingot	mkuo
epic	utendi
tab	tabo
Gaul	Gallia
Persian Gulf	Ghuba ya Uajemi
water strider	fundi-viatu
Azerbaijani	kiazabaijani
clasp	bizimu
general	jenerali
plough	lima
holder	mshika
valid	sahihi
presently	punde
pry	-ingilia
rumor	fununu
verification	thibitisho
template	kigezo
usurer	mkopeshi
quarry	windo
arsonist	mchomaji
Panama City	Panama City
thallium	tali
La Paz	La Paz
no longer	hakuna ndefu
copra	nguta
platypus	kinyamadege
bottle	chupa
cuttlefish	mkizi
crack	ufa
header	kichwa
bosom	kifua
shadow	kivuli
seizure	unyangʼanyi
pillage	-teka
decent	-a maana
alley	kichochoro
mathematical	-a hesabu
earthquake	tetemeko
transmission	upelekaji
little grebe	kibisi
chess player	sataranji mchezaji
then	kisha
crow	kunguru
steam	mvuke
ape	tumbili
loam	udongo
Slovakia	Slovakia
painful	chungu
stink	-nuka
acerbic	-kali
civilization	ustaarabu
crap	kinyesi
uphold	-dumisha
seeing	jambeni
old-fashioned	-kale
isosceles triangle	pembetatu pacha
verisimilitude	usawa wa ukweli
dentist	daktari wa meno
merge	unganisha
Dionysus	Dioniso
theory of relativity	nadharia ya relativity
modicum	kiasi
sleep with	kutomba
glasses	miwani
lass	mtoto
fork	uma
underhanded	erevu
sadness	huzuni
earlier	mbele
pagan	shenzi
row	mstari
quarter	robo
interpreter	mkalimani
war	vita
indication	ishara
cheerful	damisi
slut	mkoo
bauble	kipuzi
peritoneum	utambi
flawed	-pungufu
gospel	injili
hygiene	elimu ya afya
black-necked grebe	kibisi shingo-nyeusi
fascism	ufashisti
engraving	mchoro
forenoon	asubuhi
compass	bikari
most	hasa
firstly	kwanza
snort	-koroma
penis	mboo
almond tree	mlozi
overlap	-pandana
outrage	manza
candor	kweli
consecutive	-andamo
booklet	kijitabu
sweeper	makarenge
Nov	Nov
husband	mume
namesake	somo
singular	umoja
barrage	moto
method	njia
earring	hereni
unclean	-chafu
Ghana	Ghana
excitement	masuko
finalize	maliza
strip	-vua
detect	-sikia
sway	-yumba
askew	benibeni
cannibal	mla watu
dividend	kigawanye
uppermost	imaima
brochure	kijitabu
Syrian	Msiria
Union of Soviet Socialist Republics	Urusi
Sagittarius	Mshale
Thai	Kithai
manner	jinsi
trouble	shida
translation	tafsiri
perspire	-toka jasho
calmly	kinyerenyere
military police	polisi
Tanzania	Tanzania
simplicity	utupu
lift	eleveta
representative	kaimu
rivalry	ghiliba
custard apple	stafeli
explore	-vumbua
economical	kabidhi
strap	ukanda
tadpole	kiluwiluwi
jihad	jihadi
Eve	Hawa
sunfish	kipungu
entrepreneur	mjasiriamali
mutton	nyama ya kondoo
malaria	malaria
British Isles	Funguvisiwa ya Britania
duster	dasta
Grenoble	Grenoble
Azeri	Kiazeri
he	yeye
slip	-teleza
Afghanistan	Afghanistan
noun	jina
damn	-laani
prime	mchanga
den	malazi
translator	mfasiri
admonish	-onya
baddie	mnyangʼanyi
intestine	matumbo
preparedness	utayari
mosque	msikiti
knife	kisu
expression	kauli
parachute	ndege
specialist	msanaa
comport	fanya
artisan	fundi
involve	-husu
wear	vaa
feudal lord	mwinyi
gangster	jangili
memorandum	hati
chorus	kiitikio
loved	gali
participation	ushirikishwaji
generator	jenereta
voltmeter	kipimo cha volta
granulated sugar	sukari chembechembe
Iberian Peninsula	Rasi ya Iberia
large intestine	utumbo mkubwa
paraphrase	falisi
Hindi	Kihindi
decoration	pambo
business	biashara
masses	kidonge
indigent	maskini
conflagration	moto
expertise	ustadi
put forward	-benua
demon	pepo
intersection	kutano
strike	mgomo
beetle	sururu
collect	changa
souvenir	kumbukumbu
annihilate	-tangua
probably	labda
paleness	weupe
openness	uwazi
sprawl	sambaa
fabrication	utungo
pole vault	kuruka kwa upondo
counterblow	piga kwa kulipiza
Taoism	Utao
condition	hali
insulator	kizio
margin	pambizo
water buffalo	nyati
night	usiku
wise	staarabu
dance	ngoma
grief	huzuni
hack	-shenga
okapi	okapi
marbles	gololi
farrier	mbini
arsenic	aseniki
sustainable	endelevu
martial art	judo
Belgrade	Belgrad
easygoing	epesi enda
agate	kalkedoni
bark	gome
marvel	anasa
degree	digrii
possibility	yamkini
attorney	wakili
perpetually	sikuzote
froth	povu
absolution	ghofira
remit	-samehe
impracticability	muhali
shrike	tiva
hawksbill turtle	kasa mwamba
Ljubljana	Lyublyana
lob	rusha mpira juu
cheat	-danganya
superior	mkubwa
bin	ndoo
notebook	daftari
barrier	mkinga
spy	-peleleza
calumny	singizio
jeopardize	-ogofisha
emotion	tukutiko
passageway	ujia
inheritance	urithi
epee	upanga
adequacy	utoshelevu
free kick	mpira wa adhabu
mercy	huruma
dry	-kavu
stove	jiko
smile	tabasamu
alligator	mamba
initiate	-anzisha
sheet metal	bati
crab	kaa
lease	kodi
wilderness	pori
commonly	mara nyingi
personality	haiba
decorator	mpamba
needlework	ushoni
carnage	chinjo
steering	uendeshaji
go for	-endea
corkscrew	skrubu
humane	-a kiutu
vanadium	vanadi
invertebrate	wasouti
aside	kando
accident	ajali
pardon	ghofira
ant	siafu
appropriately	barabara
colleague	mwenzi
convalescence	nafuu
meticulous	siasa
blindness	upofu
knightly	itikio
consultant	mshauri
exploitation	unyonyaji
patience	subira
tambourine	tari
potter	mfinyanzi
Vanuatu	Vanuatu
hamburger	hambaga
foliage	majani
Spain	Hispania
warden	mlinzi
Vilnius	Vilnius
weapon	silaha
persistent	-imarika
globalisation	utandawazi
Bucharest	Bukarest
mess up	-chafua
frustrate	-vunja
hangman	mchinja
lawn	ua
regular	kimaada
coop	kizimba
prevent	-zuia
articulation	kiungo
acid	asidi
lintel	kizingiti
survivor	nusura
gang	genge
globefish	bunju
distrust	ghera
captivity	uja
Abu Dhabi	Abu Dhabi
gigabyte	gigabaiti
yen	yen
functional	faida
fungus	uyoga
beautifully	vizuri
missing	tovu
definitely	kabisa
pool	bwawa
genuine	safi
coca	theluji
extremity	ncha
seaweed	mwani
solve	-fumbua
ingenuity	uelekevu
polite	nyenyekevu
Algeria	Aljeria
North Korea	Korea Kaskazini
Seth	Sefu
tellurium	teluri
clear-sighted	angavu uoni
solenoid	elektromagnet
manna	mana
impression	chapa
turkey	bata mzinga
deserve	-stahilisha
cask	pipa
coagulate	ganda
persistence	imara
obvious	wazi
cashew	mkorosho
principle	kanuni
reliability	uthubutu
runner	mkimbiaji
lute	gambusi
skewer	mshakiki
laggard	goigoi
receiver	mpokeaji
Florence	Firenze
Jeddah	Jeddah
spread	enea
free of charge	bure
egg	yai
string	uzi
treatise	makala
instantaneously	sasa hivi
annul	-batili
ambassador	balozi
antagonism	uhasama
twice	mara mbili
indolent	goigoi
dirge	maombolezo
account book	daftari
blister	lengelenge
comfortable	mustarehe
jellyfish	yavuyavu
work out	fanya kazi nje
water tower	maji mnara
barefoot	tupu futi
koala	koala
abbreviate	-kata
vocabulary	msamiati
evidence	cheti
Ecuador	Ekwado
near	karibu
enhancement	maendeleo
year-round	mara kwa mara
superintendent	kaimu
Perth	pochi
black magic	uchawi
episcopacy	jimbo
necklace	kidani
shrine	mzimu
shooting	shuti
gamble	-ramisi
vagina	kuma
porpoise	pomboo
North Africa	Afrika ya kaskazini
Astana	Astana
invisible	-si-onekana
prepare	andaa
nutrient	chakula
hearth	jiko
diplomacy	diplomasia
windowsill	bado
workshop	karakana
Shreveport	Marekani
corner kick	kona
advertisement	tangazo
fastidious	teuzi
recur	-chamka
annually	kila mwaka
Asian	Mwasia
cycling	baiskeli
cadence	mwanguko
dolphin	pomboo
footstool	jano
smoker	mvuta
chili pepper	pilipili
Pentateuch	taurati
sapphire	yakuti
Paschal Lamb	Yesu
mandolin	gambusi ndogo
poach	kupika
brother	kaka
valley	bonde
wont	desturi
yore	jana
falsehood	uongo
stanza	kina
broadcast	-tangaza
acne	chunusi
rumble	-vuma
wherever	popote
department store	bohari
waistband	deuli
charwoman	mfagiaji
Coptic	Kikhufti
feast	karamu
encounter	mpambano
place	mahali
hoi polloi	kijiji
ball	mpira
body part	kiungo
cruelty	ukatili
ill-mannered	shenzi
abstain	-jihini
reconnoiter	-doya
preface	dibaji
birdcage	kizimba
percussion instrument	kibati
paganism	ushenzi
armband	uzinge
assessment	upimaji
riverside	-a pwani
conjugation	mnyambuliko
eject	-sua
scavenger	topas
Maghreb	Tunisia
oblivion	zohali
walleyed	kiambaza jicho
ice skate	viatu vya kuteleza kwenye theluji
terminate	-ondoa
settle down	-tulia
plural	wingi
roast	-choma
rhinoceros	kifaru
kid	mwanambuzi
department	idara
bath	bafu
lady	bibi
dozen	dazeni
husk	ganda
ladybug	nyckelpiga
reveal	-dhihirisha
identically	pia
dumb	bubu
indifferent	-vivu
adhesion	mngʼangʼanio
bandit	haramia
albino	zeruzeru
wallpaper	pazia
Lubumbashi	Lubumbashi
seafront	bahari mbele
cut up	-kata
singe	-unguza
assets	rasilmali
laity	mlei
offload	eleza
inform	arifu
globule	kidonge
substantially	mara nyingi
castle	boma
justified	linganifu
criminal	mhalifu
antechamber	sabule
protected	hifadhi
divulge	-payapaya
Republic of Belarus	Belarusi
mummy	mumiani
Scotland	Uskoti
Republic of China	Jamhuri ya China
interactive	wasilianifu
switch on	swichi juu
nightcap	usiku kibapara
Bavaria	Bavaria
revolve	-zunguka
burn	-waka
brick	tofali
inhabitant	mwenyeji
importance	umuhimu
will	wasia
shark	papa
meddle	-taaradhi
betel nut	popoo
ascension	upandaji
ado	kelele
coccyx	kifandugu
stub	butu
herring	heringi
Colombian	Mkolombia
syllable	silabi
tuba	tuba
Italian	Kiitaliano
decor	pambo
section	kifungu
property	mali
end up	maliza
vomit	-tapika
take on	pakia
burn down	kuungua
bevel	hanamu
procrastinate	-ahiri
give way	-bonyea
ogre	zimwi
siren	paipu
own	-miliki
terminal	kitako
jewel	johari
incoherence	upayukaji
lumpy	nundunundu
technical	istlahi
Gabriel	Jiburili
modest	nyenyekevu
Slovenia	Slovenia
Dardanelles	Dardaneli
Canberra	Canberra
magnetic field	uga wa sumaku
bitter	-chungu
license	leseni
blouse	blausi
admonition	mawaidha
billboard	bango la barabarani
misappropriate	-badhiri
languorous	-vivu
unanimity	sauti moja
interview	mahojiano
retch	-jisua
grub	buu
vigilance	uvinjari
vitamin	vitamini
hyacinth	hiakintho
Eastern Standard Time	Saa za Wastani za Mashariki
quit	-toka
discharge	kitanguo
ale	pombe
scale	gamba
coin	sarafu
canvas	shira
purgatory	tohara
addendum	nyongeza
lichen	kuvu
tramp	jambazi
daisy	jaja
treat	-tibu
harmonium	kinanda
tourniquet	kisongo
ominous	korofi
skinflint	mchopozi
meek	dhalili
cereal	nafaka
slag	chomo
economics	uchumi
denote	-maanisha
video	filamu
Moldova	Moldova
mobile phone	simu ya mkononi
sleepwalker	lala mtembezaji
start	kuanza
accede	kubali
toast	-banika
tyranny	ukorofi
scourge	kambaa
farmhouse	shamba chengo
working	fanya kazi
a lot	chungu nzima
gravy	mchuzi
knack	uwezo
udder	kiwele
argue	-bishana
Adam	Adamu
pulse	mshipa
perplexed	juujuu
theorem	uhakiki
jugular vein	halkumu
tow	-vuta dakawa
keyboard	kibodi
viewfinder	pilka-pilka
ivy	lablabu
behind	nyuma
charitable	neemevu
social class	kazi
carpenter	seremala
fable	ngano
mansion	jumba
emolument	mshahara
ditto	pia
ready	tayari
loan	mkopo
invasion	uvamizi
delicacy	wembamba
black-eyed pea	ukunde
atom	atomi
hematite	figo
prime minister	waziri mkuu
license plate	bamba la namba ya gari
gift	zawadi
winnow	-pepeta
baseball	besiboli
barter	-badili
boy	mvulana
sanction	idhini
daybreak	alfajiri
strong	imara
appointment	daraka
duds	nguo
madness	wazimu
mission	ujumbe
Capricorn	jadi
arrow	mshale
stock exchange	soko la hisa
throne	kiti cha enzi
Antiguan	Mwantigua
intimidation	mwogofyo
Norway	Norwe
Cardiff	Cardiff
scroll	hati ya kukunja kwa kuviringisha
euro	yuro
lie	uongo
emancipation	huru
schoolchild	mwanafunzi
femininity	kike
wide	pana
tart	chungu
camp	kambi
pretence	kimasomaso
mainly	aghalabu
repose	mustarehe
acquiescence	radhi
tacking	bisho
stoker	mchocheaji moto
drawers	kidawati
pyrosis	kiungulia moyo
masturbation	punyeto
Colossus of Rhodes	Sanamu ya Kolossos kisiwani Rhodos
stir	koroga
bungler	mparuzi
veil	buibui
consideration	shauri
bull	fahali
harmony	kiva
chill	baridi
completely	kabisa
brim	ukingo
aviator	mwanahewa
exorcist	kaimu
amusing	-cheshi
chameleon	kinyonga
tractor	trekta
expectoration	makohozi
imprecate	yamini
fortunately	kwa bahati nzuri
quadrilateral	pembenne
fingerboard	kidole kibao
healer	muchawi
Hephaestus	Hefesto
Etruscan	Waetruski
Akan	Kiakan
hatefulness	chuki
approximate	-karibisha
vapour	moshi
attainment	uhodari
raw	-bichi
abyss	uketo
Japan	Japani
action	amali
index	fahirisi
immature	-changa
qualified	stahili
hop	-ruka
rupture	halafa
elector	mchaguzi
reasonable	elekevu
osmium	osmi
jawbone	taya
Diocletian	Diokletian
icebreaker	barafu mvunja
Serb	kiserbia
leave behind	-telekeza
removal	kitanguo
violent	dhalimu
bathe	oga
moon	mwezi
cause	sababu
organ	kiungo
defender	mtetezi
ajar	wazi
carry out	-timiliza
puff	-penga
seclusion	faragha
builder	mjenzi
depopulation	kumbo
lascivious	kware
urgency	dharura
Bangladesh	Bangladeshi
electric ray	kiteza
sculptress	mchongaji
prologue	yaliyotangulia
Hong Kong	Hong Kong
Sarajevo	Sarayevo
passenger	abiria
fast food	chakula cha kununua
guardian	mlezi
heart	moyo
cutlass	mundu
almost	nusura
delete	-futa
dissipation	asherati
autumn	demani
solidify	-imarisha
extended	nyofu
argillaceous	-enye udongo
chain	mnyororo
divisor	kigawanyo
sportsman	mwanariadha
warehouse	stoo
Christendom	Ukristo
tuning fork	chuma cha noti
wadi	wadi
toothache	kiseyeye
mascara	wanja
crystal ball	tufe la kioo
Mongolian	kimongolia
Telugu	kitelugu
follow	fuata
lineage	jadi
pouch	mkoba
hinterland	bara
movement	mwendo
underneath	chini
increase	zidi
forward	mbele
cattle	ngʼombe
believe	-amini
imagine	-dhani
callous	sugu
scowl	-finya uso
swell	vimba
stitch	-shona
moral	adili
contraction	kujikaza
iron ore	mawe yenye chuma
bow and arrow	upinde na mshale
mastermind	kiongozi
Byzantine Empire	Ufalme wa Byzantini
execution	ufanyaji
spanner	spana
rejoice	-furahi
addition	jumla
heathen	shenzi
pace	hatua
hinge	bawaba
excavation	fuko
chronicle	tarehe
reign	-tawala
happening	tukio
spasm	jansi
knock	-piga hodi
forestall	-tangulia
paladin	mtetezi
hemisphere	kizio
skilful	mahiri
teakettle	kandarinya
iron out	chuma nje
acclaim	-tangaza kwa ukelele
later	halafu
conceited	malidadi
church	kanisa
industry	kiwanda
potation	kinywaji
commodity	kifaa
cabinetmaker	seremala
suspicion	tuhuma
spear	mkuki
precursor	mtangulizi
antiquity	zamani za kale
spearhead	ukengee
ampere	ampea
phosphate	fosfati
linguistics	isimu
skyline	kipeo cha macho
rubber stamp	mhuri
screening	kingia
crush	-ponda
maker	mfanya
backing	jongo
pergola	chama
offense	utadi
actor	mwigaji
disposition	silika
Jamaica	Jamaika
industriously	kwa bidii
ditch	mfereji
pledge	dhamana
distinguish	-ainisha
adulthood	uzima
devilry	ushetani
mermaid	nguva
amoeba	amiba
boiling point	chemka kilembwa
copybook	fuatisha kitabu
Ruth	Ruthu
annoy	-tusha
shut up	-tulia
headscarf	kitambaa
doorstep	kingo
nonetheless	lakini
tree trunk	shina
real	halisi
blockade	mazingiwa
guideline	mwongozo
straddle	-tagaa
equation	mlingano
murderous	katili
automobile	gari
evaluation	tathmini
social science	uchumi
inveterate	maarufu
audibility	msikilizano
gimmick	ono
mouldy	vunda
rename	badili jina
modem	modemu
outcast	kiwa
term	kipindi
leader	kiongozi
jackal	mbweha
smell	harufu
expanse	shamba
vodka	vodka
locate	-jasisi
mommy	mama
American English	Kiingereza cha Kimarekani
ASAP	sasa hivi
condom	kondomu
rifle	bunduki
insinuate	-singizia
haft	kipini
precept	kanuni
pistol	bastola
manta ray	karwe
Chicago	chichago
patrol	doria
six	sita
please	tafadhali
acrid	chungu
spice	kiungo
adore	kuabudu
lifetime	maisha
fore	-kubwa
clot	donge
sweet basil	mrihani
believe in	-amania
loyal	tii
Korea	Korea
withdraw	-ondoka
alight	-shuka
lighting	uwasho
gramps	babu
page	ukurasa
career	shughuli
football	mpira
bird	ndege
draw	-chora
sweat	jasho
hare	sungura
sorghum	mtama
snowfall	theluji anguka
stack	panganya
innocence	takato
sickle	mundu
configure	-sanidi
olive oil	halzeti
forgetful	sahaulifu
think over	dhani juu
Warlpiri	Kiwarlpiri
personally	kinaganaga
half	nusu
ledge	bado
privilege	haki
sewer	mfereji
dyestuff	kindoro shindilia
ear lobe	sikio
inhale	-vuta
intoxicating	mtindi
starling	kwenzi
showy	shau
talented	-erevu
intuition	anga
croak	kufa
preferable	afadhali
some	baadhi
cultivation	mlimo
crane	korongo
restore	-rudisha
honestly	kwa kweli
apportionment	gawio
parking lot	mbuga
excessive	dubwana
traditionally	kwa kiasili
furnish	-pamba
bear	dubu
guilty	hatia
kebab	mshikaki
refreshment	burudisho
elbow	kisugudi
mint	nanaa
bare	kichele
compress	-songa
proclaim	-eneza
abattoir	madhabahu
board game	bao
botany	botania
asbestos	asbestosi
skinny	chembamba
hermaphrodite	huntha
marten	kanu
night watch	kesha
hangnail	kigozikucha
Brazilian	Mbrazili
Austrian	Mwaustria
Zechariah	Zekaria
defeat	ushinde
decorate	pamba
cautious	-angalifu
boutique	duka
jurisdiction	hukumu
abode	makao
handshake	mkono
mass	mshikano
expansion	upanuzi
pageant	tamasha
lose weight	-finyaa
loophole	budi
resolution	azimio
prejudice	kirahi
