adjudicate	mengadili
aver	membuktikan
reelect	memilih
blot out	menghapuskan/ mencoret
blush	kesipuan
meretricious	murah
immaculate	tak kotor
sift	tapis
cross-dresser	banci
funk	pengecut
doorman	porter
convex	cembung
cartilage	tulang rawan
snuff	menghidu
force majeure	bencana alam
tenable	yang dapat dipertahankan
texture	tekstur
electromagnetic	electromagnetis
chessboard	papan catur
dermis	selerang
Arabian Peninsula	Jazirah Arab
Toyota	Toyota
phosphorus	fosfor
Ishmael	paria
bauxite	bauksit
appendectomy	pembedahan usus buntu
piano accordion	akordeon
conceive	mengakibatkan
awful	mengerikan
arsehole	brengsek
geography	geografi
usual	biasa
apparent	jelas
shepherd	gembala
normality	kebiasaan
cow	sapi
mercury	merkurius
underling	orang
swimming trunks	pakaian renang
procurement	pesanan
cornet	terompet
house mouse	mencit
ophidian	ular
sorrow	kesedihan
nomination	pengangkatan
gallop	memperpanjang
avocado	alpukat
translucent	tembus cahaya
ovoid	berbentuk telur
squeak	mencicit
eye socket	rabung mata
lawman	pengacara
urethra	uretra
dialectically	secara logika
cyclical	berkitar
prance	melonjak-lonjak
backhander	sogokan
exponentiation	eksponen
limerick	seloka
Zhou	Dinasti Zhou
herpes	herpes
black rhinoceros	badak hitam
below	di bawah
bloke	pria
chickenpox	cacar air
last word	cantik
hate	benci
sore	luka
intoxicated	mabuk
eating	pangan
intent	sasaran
a	satu
popular	populer
deceit	penipuan
wholesome	bajik
eel	belut
broadly	luar negeri
recount	menceritakan
smuggle	menyelundup
complex	majemuk
soldier	serdadu
impedance	impedansi
stigmatize	mengutuk
frizzy	keriting
technology	teknologi
undefined	samar
Principality of Liechtenstein	Liechtenstein
chaffinch	burung berdada jingga
Dalmatian	Dalmatian
gunboat	kapal meriam
water bottle	termos
motherland	tanah leluhur
flamingo	flamingo
yellow fever	demam kuning
ballistic missile	misil balistik
benign	lunak
tube	tabung
cigarette	rokok
schoolmaster	managing director
olfaction	hidung
preposition	kata depan
genuineness	keaslian
mellow	bersantai
overturn	balik
bring forth	membawa
adventure	petualangan
multicultural	multikultural
Nablus	Palestina
capital punishment	hukuman mati
alcove	ruang
deafness	ketulian
compete	bersaingan
let go	membebaskan
ineffective	tak berguna
specialty	keunggulan
eggshell	kerak
opulence	kemewahan/keborossan
bacchanal	pesta
housekeeping	tugas
malignly	memfitnah
coeval	sebaya
airtight	kedap-gas
acetify	masam
antebellum	sebelum perang
antibody	antibodi
radio station	stasiun radio
vibe	osilasi
arquebus	senapan kopak
Lilongwe	Lilongwe
Bacchus	Bacchus
Tacitus	Gaius Cornelius Tacitus
baht	baht
toss	lempar
seize	menangkap
sovereign	berdaulat
manage	urus
back up	dukung
approximately	kira-kira
culture	budaya
vertex	kepala
paradise	surga
feel like	mau
acquisition	pasar
inquire	tanya
fosterage	asuh
gout	encok
putrefy	memburuk
spigot	keran
rime	bingkai
penance	penebusan dosa
emigration	emigrasi
export	ekspor
convoy	konvoi
menstrual	haid
crevasse	palung
smoked	yang disalahi
postoperative	sesudah operasi
administrative	administratif
satyr	bandot
sociologist	sarjana sosiologi
capital gain	laba dari penjualan aktiva
hectare	hektare
gallon	galon
audiometer	audiometer
windmill	kincir angin
automatism	keengganan
first person	orang pertama
Exodus	Keluaran
Dobrich	Dobrich
intolerance	intoleransi
being	makhluk
harmless	tidak bahaya
flaky	pakaian dalam dari wool
consult	berkonsultasi
assure	bertemu
conjoin	menikah
Moon	bulan
maltreatment	dosa
guillotine	guillotine
pet	binatang jinak
North Korean	Korea Utara
moth	ngengat
foe	musuh
cancel	membatalkan
sequester	menyita
bike	sepeda
token	tanda
duplicate	menyalin
drug	obat
ethanol	etanol
New Brunswick	New Brunswick
standpoint	pandangan
drum roll	gendang
stamina	ketahanan
keeper	kiper
unstable	labil
gravedigger	penggali kubur
funicular	kereta kabel
gear wheel	roda gigi
hovercraft	kapal bantalan udara
Zionism	Sionisme
emirate	emirat
theoretically	idealnya
Bollywood	Bollywood
Estonian	bahasa Estonia
Ukrainian	Ukrainia
still	masih
base	batang
formal	resmi
main	terutama
canopy	teng
conquer	larang
coordinate	mengatur
intelligent	pintar
influenza	influensa
fried	goreng
clerk	magang
plowman	petani
nirvana	surga
acacia	akasia
bamboo	bambu
phonetics	ilmu fonetik
tribal chief	ketua
seism	gempa
screwdriver	obeng
afterbirth	ari-ari
grey-haired	beruban
impetuosity	pemaksaan
ergo	sebagai konsekwensi
doodle	menconteng
ILO	Organisasi Buruh Internasional
North Island	Pulau Utara
Islamist	Islamis
auxiliary verb	verba bantu
by-election	pemilu sela
wife	istri
fervor	api
torso	badan
meridian	lingkaran bujur
sheer	bening
rotate	memutar
judge	hakim
ear	telinga
astute	bijaksana
splendid	gilang gemilang
inferior	bawahan
chest of drawers	lemari baju
strike out	mencoret
corruption	korupsi
womb	rahim
enclosure	lampiran
behead	memenggal
evict	usir
pundit	pengulas
acknowledgement	pengakuan
frown	pandangan marah
kneecap	tempurung lutut
sandfly	agas
molybdenum	molibdenum
unrequited	tidak terbalas
nihilistic	nihilistis
latent	laten
hangar	hanggar
negligence	kelalaian
oviduct	saluran sel telur
prestidigitation	permainan silap mata
liquorice	permen Belanda
forefront	barisan depan
adrenaline	adrenalin
biceps	biseps
Crete	Kreta
be	ada
bank	bank
widget	piranti
opportunity	kesempatan
aroma	aroma
aptitude	keserasian
nation	bangsa
cargo	muatan
watch	jam tangan
poor	miskin
skilled	pintar
alleyway	gang
blackamoor	hitam
put through	melakukan
attest	membuktikan
ennoble	menghargai
neutron	neutron
insurgent	pendurhaka
nothingness	puji-pujian
waffle	wafel
mendicant	saudara
aural	telinga
association	hubungan
criticism	kritik
wordless	bisu
upcoming	depan
windscreen wiper	penghapus kaca
duplication	salin
rubber band	karet gelang
curiosity	keingintahuan
burl	kaca pembesar
thermodynamic	termo-dinamis
capybara	kapibara
pear tree	pir
alkalimetry	alkalimetri
horse racing	balap kuda
pole star	bintang kutub utara
oscilloscope	osiloskop
Dortmund	Dortmund
citric acid cycle	Siklus Krebs
Russian	bahasa Rusia
grotesque	aneh
favourable	baik
ethnic	etnis
meat	daging
biochemistry	biokimia
blithe	cantik
defame	hina
tricolour	Itali
keep on	tetap
wonted	biasa
persuasion	godaan
planer	ketam
lettuce	selada
brain-teaser	tanda tanya
slide	tergelincir
tickle	menggelitik
dungeon	menara
worsen	mundur
partition	sekat
corvee	kerah
love affair	roman
Republic of Uzbekistan	Uzbek
faucet	keran
sightseeing	pariwisata
underline	menekankan
latitudinarian	bersikap toleran
moonlit	lesu/seperti bulan
sanguine	kemerah-merahan
ayin	ain
Auckland	Auckland
magma	magma
Oligocene	Oligosen
breathe	bernafas
cheek	pipi
shaman	dukun
area	wilayah
alive	hidup
metrical foot	kaki
embody	makhluk
broaden	membesarkan
director	direktur
critical	gawat
high school	sekolah menengah atas
injustice	aniaya
flip-flop	sandal jepit
sinner	pelanggaran
incorporation	perusahaan
satisfactory	puas
aubergine	terong
stole	selendang
reparation	ganti rugi
expectant	mengandung harapan
plunger	penyelam
undertaker	penggali kubur
bartender	pemilik bar/pemunbgut pajak
nightgown	baju tidur
subconsciousness	pikiran bawah sadar
hydrodynamics	hidrokinetika
public law	hukum publik
Gothenburg	Goeteborg
Indiana	Hoosier State
Poseidon	Poseidon
Essene	Orang Esen
shantytown	kawasan kumuh
oddball	aneh
buffoon	badut
innocent	polos
expire	meninggal
bloom	bunga
comet	komet
whitewash	cat
cotton	kapas
consent	setuju
aphelion	komet
cartoon	karton
ban	larang
seagoing	dibuat utk perjalanan lautan
universalize	menyebarluaskan
selected	pilih
aggressiveness	agresi
inhibition	abaran
product	hasil
poof	banci
catalogue	daftar
housekeeper	ibu rumah tangga
immigrant	imigran
phylogenesis	sejarah evolusi suatu ras
morphine	morfina
drop-off	pengurangan
ulcerous	borok
teens	remaja
incisor	gigi seri
Mass	Misa Kudus
horsepower	daya kuda
hub	tabung-bantalan
brake shoe	kasut
Tangiers	Tangier
Hermaphroditus	Hermafroditos
pentatonic scale	pentatonik
embankment	empang
static	tanpa gerak
flush	menyiram
Berlin	Berlin
quickly	cepat
Republic of Finland	Finlandia
dispel	hilang
squaw	istri
boyfriend	pacar
prolonged	lanjur
suppress	tekan
prehensile	melilit
introduce	mempersembahkan
unload	bongkar
braid	anyam
bode	meramal
pencil	pensil
oasis	perlindungan
precious stone	batu cincin
Burma	Burma
Kali	Kali
pliable	lembut
absurd	menggelikan
Newari	Newari
slake	memuaskan
relic	barang peninggalan
inferiority complex	rendah diri
transgressor	pelanggar
hostler	losmen/kedai
goatee	janggut seperti kambing
percussion	perkusi
zoophilia	bestialitas
risotto	Risoto
Japheth	Japheth
thermoelectricity	termolistrik
squirrel	bajing
pat	banting
intelligence	akal
coffin	peti mati
ghost	hantu
thirst	haus
allowance	potongan harga
Homo sapiens	manusia
enticing	menarik
soothe	membelai
pioneer	pelopor
ancillary	bersifat tambahan
growl	keroncong
succulent	enak
ballpark	taman
anesthesia	anestesi
fatness	obesitas
reed	alang-alang
axilla	ketiak
advisedly	dengan sukarela
sawdust	serbuk
well-founded	yang dapat dipertahankan
orchestral	berkenaan dengan orkes
harpy	harpy
oarsman	pedayung
zoologist	ahli ilmu hewan
honey fungus	pertengkaran kecil
Hollywood	Hollywood
Trentino-Alto Adige	Trentino-Alto Adige
Darwin	Darwin
Timbuktu	Timbuktu
Kampala	Kampala
Epimetheus	Epimetheus
sinusitis	sinusitis
Neolithic	Neolitik
accusative case	akusatif
conveniently	sewajarnya
Atlas Mountains	Aljazair
answer	menjawab
haemorrhage	berdarah
elaborate	ruwet
smart	pintar
varmint	kutu
roll over	meninggal
Mongol	Mongolia
committed	mewajibkan
abbreviated	singkat
well-to-do	mapan
droplet	rintik-rintik
yogurt	yoghurt
assumption	asumsi
newel	azab
recreate	gembira
storey	tingkat
terrify	seram
officeholder	pegawai
monition	peringatan
pustule	bintik
salat	solat
pharmacological	pharmakologis
rhombus	belah ketupat
polarization	polarisasi
obsolescence	keusangan
stanchion	penyangga
sufficiency	kecukupan
blood cell	sel darah
Holy Spirit	Roh Kudus
Global Positioning System	Sistem Pemosisi Global
mandala	mandala
Aleutian Islands	Kepulauan Aleut
Austria-Hungary	Austria-Hongaria
Pyrrhus	Pyrrhus
leaf beetle	kumbang daun
musical instrument	alat musik
riskless	aman
assembly	apel
lengthen	selamanya
pregnant	hamil
middling	Biasa Saja
audio	bunyi
well-defined	jelas
cephalic	cephalic
consequence	akibat
Madrid	Madrid
abdicate	meninggalkan
fill in	isi
skim	tikus
disfigure	merusak
demagogy	prinsip
meanwhile	semasa
residual	berhak menerima sisa waris
smear	berlumur
flamen	Mars
expatriate	mengusir
drawer	laci
option	pilihan
waistcoat	rompi
tonality	nada
populous	padat penduduknya
sawmill	penggergajian
crescendo	crescendo
glottis	celah suara
dichotomy	dikotomi
boson	boson
legalise	mengesahkan
lacquer	melapisi pernis
digger	mesin singkup-keruk
Grus	Grus
typhoid fever	kepialu
mustard gas	yperit
duct	bandar
novel	novel
con	muslihat
ancestry	asal usul
wickedness	kejahatan
mandate	mandat
vacillation	kebimbangan
parry	halangi
tour	perjalanan
supposition	perkiraan
studious	rajin belajar
osso buco	tomat
counterpane	sprei sarung bantal
abroad	luar negeri
leadership	pimpinan
election	pemilihan
debtor	peminjam
fruition	penghasilan
vellicate	menggelikan
foyer	koridor
public relations	Humas
refugee camp	kemah
cent	sen
soda ash	abu soda
lecher	bandot
permanganate	permanganat kalium
mainframe	CPU
discontent	ketidak puasan
bus stop	halte bis
Edmonton	Edmonton
dewlap	gelambir
sebaceous gland	kelenjar minyak
shot put	tolak peluru
cluster bomb	bom klaster
ingest	ada
outfit	pakaian
rum	rum
suspicious	curiga
country	negara
transparent	bening
movie star	bintang
divinity	dewa
value	nilai
day	hari
scrub	hutan
ordinary	biasa
convince	meyakinkan
activate	menghidupkan
notable	terkenal
blanket	selimut
copper	tembaga
pimp	germo
discount	potongan harga
sluggard	teluk
neckerchief	syal
imprudent	gegabah
docker	kuli pelabuhan
van	van
ton	ton
gastric	berhubungan dengan lambung
logistic	logistik
hymnal	buku nyanyian pujian
drollery	komedi
dune	gundukan pasir
thicken	memekatkan
Jeremiah	Yeremia
bulgur	bulgur
Caesarea	Kaisarea
Sophocles	Sophocles
proteomics	proteomika
hundred	ratus
peril	bahaya
routine	rutin
smoking	berasap
lot	banyak
Holland	Belanda
infernal	betul
bugbear	dendam
countenance	wajah
grasp	memeluk
rub	gosok
fascinate	menarik
poverty-stricken	miskin
strained	nyeri
simile	kiasan
traditional	adat
whoremonger	germo
evade	hindari
inkling	kehendak
veneration	ketaatan
cologne	eau de cologne
solidarity	solidaritas
cannibalism	kanibalisme
enjambment	kereta meriam
isogon	garis isogon
astrophysicist	ahli astrofisika
concatenate	merangkaikan
information science	informatika
Dominic	Dominic
Plutarch	Plutarch
tetrachloromethane	karbon tetraklorida
mend	perbaiki dengan jahit
haply	barangkali
clack	berkicau
paradigm	paradigma
dinosaur	dinosaurus
living	hidup
lousy	hina
information technology	teknologi informasi
simple	sederhana
commission	utus
mew	mengeong
Micronesia	Mikronesia
webbed	renang
pleasant	enak
lion	singa
French horn	terompet
plateau	dataran
Caribbean	Kepulauan Karibia
usurpation	tubrukan/pelanggaran
lastingly	terus-menerus
speckle	titik
beckon	panggil
liqueur	likeur
consistently	merangkak
Death	kematian
Greco-Roman	klasik
chalice	cawan
count noun	dolar
skipper	nakhoda
serving	porsi
recalcitrant	suka melawan
money market	kertas berharga
heat wave	gelombang panas
nail polish	cat kuku
regiment	resimen
Devanagari	Devanagari
Achaea	Akhaia
epic	agung
teach	mengajar
abide	harapkan
ingot	batangan
approve	setuju
denounce	hina
chevron	jalur
familiar	betah
broom	sapu
tempting	menarik
revalue	menghargai
swimsuit	pakaian renang
littoral	pantai
tab	rokok
redemption	pelunasan
simple machine	sistem
brazen	tidak sopan/kurang ajar
razor	pisau cukur
once	sekali
animalize	menganiaya
mountainside	lereng gunung
advent	kedatangan
water strider	tukang sepatu
bowdlerize	memendekkan
peruke	rambut palsu
tenderloin	has
settee	sofa
callow	belum dewasa
Orthodox	kaum ortodox
practicable	dapat dikerjakan
dry ice	es biang
Gaul	Gallia
Persian Gulf	Teluk Persia
Azerbaijani	Azerbaijan
rumor	desas-desus
valid	laku
glimmer	bersinar
gargantuan	besar
mesh	hidup
general	jendral
clasp	menjerat
quarry	lubang
Madonna	Mariam
Panama City	Kota Panama
platypus	platipus
presently	dalam waktu dekat
plough	membajak
no longer	tidak lagi
pry	cungkil
arsonist	pelaku kejahatan
copra	kopra
template	pola
verification	pengesahan
joss stick	colok
thallium	talium
sacristan	koster
all-knowing	maha tahu
usurer	rentenir
thermos	termos
invisibleness	tidak kelihatan
nom de guerre	nama samaran
holder	pemegang
carom	menoleh
La Paz	La Paz
Yorkshire	Yorkshire
qoph	qaf
lycanthrope	manusia serigala
decent	baik
shadow	bayangan
dilate	berkembang
bottle	botol
earthquake	gempa bumi
alley	gang
bosom	dada
crack	retak
clouded	kabur
tropic	khatulistiwa
mathematical	mengira
pillage	menjarah
roseate	auroral
seizure	beslah
header	tajuk
transmission	transmisi
formatting	format
tribunal	mahkamah
cuttlefish	sotong
crosspatch	galak
organist	pemain organ
instep	punggung kaki
Chinese lantern	lampion
upper class	golongan atas
hadron	hadron
chess player	pemain catur
gracefully	dengan rapi
kidney stone	batu ginjal
Parvati	Parvati
Pindar	Pindar
rule of law	supremasi hukum
monumental	agung
stink	berbau busuk
then	kemudian
crow	burung gagak
dentist	dokter gigi
Zion	Israel
ape	monyet
glider	layang
Londoner	London
crap	tahi
uphold	melestarikan
merge	mengocok
painful	sakit
fiery	panas
absorptivity	penyerapan
inquest	daftar pertanyaan
Slovakia	Slowakia
steam	uap
relatively	agak
subcontinent	anakbenua
electron volt	elektronvolt
old-fashioned	kuno
acerbic	pahit
carefree	periang
promulgation	proklamasi
civilization	peradaban
excoriation	lecet/pengausan
seeing	penglihatan
animated cartoon	kartun
naturalness	polos
loam	tanah liat
fencer	ketapel
existentialism	eksistensialisme
theory of relativity	teori relativitas
Linear A	Linear A
syndicalism	sindikalisme
Ionian Sea	Laut Ionia
Dionysus	Dionisos
peptide	peptida
impalement	sula
lass	anak
earlier	tadi
gospel	injil
fork	garpu
pastoral	desa
quarter	kuartal
sleep with	entot
fascism	fasisme
indication	tanda
underhanded	licik
wordy	membosankan
apprise	menginformasikan
war	perang
sadness	sedih
Arctic	Arktik
row	mendayung
slut	cabo
cheerful	gembira
hygiene	ilmu kesehatan
interpreter	juru bahasa
glasses	kacamata
pagan	kapir
unclouded	muda
tactile	sentuhan
Setswana	Tswana
barrelful	tong
flawed	bercacat
suffocation	mati lemas
White House	Gedung Putih
peritoneum	selaput perut
ethnocentrism	etnosentris
nymphomania	nymphomania
bauble	pernak-pernik
configurationism	Gestalt
aurora australis	aurora australis
tryptophan	triptofan
lastly	akhirnya
bunt	bau
farsightedness	bijaksana
tactful	sangat ramah
penis	penis
most	paling
compass	kompas
candor	jujur
acceleration	akselerasi
outrage	marah
Nov	Nov
forenoon	pagi
firstly	pertama-tama
hand grenade	granat
distrain	menyita
navigational	penerbangan
engraving	ukiran
unreasonable	mustahil
datum	data
booklet	brosur
yawl	meraung
snort	dengus
flirtatiously	genit
consecutive	beriring
tacit	diam-diam
sweeper	penyapu jalan
viceroy	wazir
cambium	kambium
concreteness	paham positifisme
pager	radio panggil
overlap	menindih
anarchy	huru-hara
algology	fikologi
green tea	teh hijau
French Canadian	French Canadian
paraphilia	parafilia
creosote	kreasot
singular	bentuk tunggal
barrage	api
husband	suami
strip	jalur
Ghana	Ghana
excitement	kegembiraan
dividend	untung
unclean	jijik
sway	goyang
mantelpiece	kosen
detect	melihat
finalize	menyelesaikan
muff	merusak
Union of Soviet Socialist Republics	Republik Sosialis Uni Soviet
treble	tiga kali lipat
method	cara
askew	miring
aromatic	wangi
Syrian	Syria
earring	anting-anting
brochure	brosur
worrisome	mengkhawatirkan
matrilineal	hubungan keluarga dari pihak ibu
uppermost	teratas
cannibal	orang makan manusia
namesake	senama
propitiation	penebusan
carbine	karaben
life style	gaya hidup
vasectomy	vasektomi
blip	radio panggil
Sagittarius	Sagittarius
obfuscate	mengelirukan
Judah	Juda
Dijon	Dijon
Provence	Provence
Thai	Thai
lift	mengangkat
salted	asin
obviously	jelas
kowtow	berlutut
tadpole	berudu
economical	ekonomis
representative	wakil
manner	cara
explore	telusur
trouble	sengsara
malaria	malaria
strap	tali kulit
unquestioning	mutlak
translation	terjemahan
military police	polisi
Tanzania	Tanzania
perspire	berkeringat
jihad	jihad
electrical	listrik
turn away	membelokkan
simplicity	kemudahan
duster	sisa
entrepreneur	wiraswasta
rivalry	persaingan
gallstone	batu empedu
Eve	Hawa
plywood	kayu lapis
theorist	teoritius
diaspora	diaspora
British Isles	Kepulauan Britania
Grenoble	Grenoble
custard apple	srikaya
phloem	floem
sunfish	pari ayam
Azeri	Azerbaijan
Afghanistan	Afganistan
damn	persetan
triumphant	bangga
prime	bilangan prima
slip	tergelincir
he	dia
cable television	kabel
noun	kata benda
module	kemampuan
admonish	tegur
agricultural	agraris
intestine	usus
thorniness	kegetiran
intrusive	mengganggu
Nazism	nazi
den	liang
prep	pekerjaan rumah
debut	sesuatu
translator	penerjemah
preparedness	persiapan
sexual relation	persetubuhan
vocalic	yang berkenaan dengan suara
enslave	mengabdikan
baddie	perampok
belfry	menara lonceng
jerkin	baju tak berlengan
malformation	bentuk cacad
polka	polka
ocarina	okarina
homing pigeon	burung merpati pos
opportune	beres
knife	pisau
expression	kata
mosque	masjid
wear	pakai
computer science	ilmu komputer
fuzzy	kabur
malpractice	kekeliruan
loved	kesayangan
parachute	parasut
involve	babit
comport	membawa
pantomime	pantomim
generator	peralatan
gangster	begal
paraphrase	sinonim
large intestine	usus besar
specialist	ahli
Seine	Sungai Seine
back and forth	terus-menerus
artisan	tukang
camaraderie	persekutuan
memorandum	nota
Apocalypse	wahyu
windpipe	trakea
oatmeal	havermut
participation	partisipasi
deranged	gila/sangat bodoh
granulated sugar	gula pasir
spoilage	pembusukan
mohair	bulu halus kambing angora
voltmeter	voltmeter
weather forecast	prakiraan cuaca
Mumbai	Bombay
Iberian Peninsula	Iberia
hospitalization	opname
guano	guano
guacamole	guacamole
Hindi	Hindi
conflagration	kebakaran
heredity	baka
strike	pukul
business	bisnis
probably	barangkali
decoration	hiasan
demon	setan
spectacular	hebat
expertise	keahlian
gold rush	keuntungan
beetle	kumbang
collect	mengumpulkan
annihilate	berantas
put forward	memaksakan
indigent	miskin
paleness	keringanan
masses	rakyat
signature tune	tanda
fabrication	anekdot
penalize	hukum
intersection	persimpangan
souvenir	kenang-kenangan
repentant	penuh penyesalan
steam boiler	dandang
holly	tumbuhan holly
openness	keterbukaan
Magna Carta	Magna Carta
sprawl	berselerak
denationalize	menswastakan
Taoism	Taoisme
Isles of Scilly	Kepulauan Scilly
ephedrine	efedrina
cold war	Perang Dingin
CJD	penyakit Creutzfeldt-Jakob
hack	memotong
Belgrade	Beograd
wise	bijaksana
gratuitous	yang diterima tanpa kerja
condition	keadaan
water buffalo	kerbau
woozy	mabuk
night	malam
finagle	mencuri
arsenic	arsen
easygoing	bersantai
margin	pinggir
dance	menari
grief	kesedihan
martial art	seni bela diri
glen	lembah
farrier	pandai besi
vet	peternakan
contrarily	bahkan
philanthropic	dermawan
agate	akik
aper	beruk
okapi	binatang okapi
sustainable	dapat diperbaharui
assisted suicide	tindak menentukan hidup mati
apsis	atap yang melengkung
amphitheatre	panggung terrendah pd bioskop
shop window	etalase
eudiometer	ediometer
jalousie	jalusi
anion	anion
aerobic	aerobik
Nubia	Nubia
Majorca	Mallorca
Solomon	Solomon
insulator	dielektrik
Delphinus	Delphinus
whoop	batuk
froth	busa
degree	derajat
bark	kulit kayu
possibility	pilihan
remit	membatalkan
stock up	mencadangkan
perpetually	selalu
attorney	jaksa
Ljubljana	Ljubljana
rick	berkisar
hillside	tanjakan
absolution	absolusi
marvel	heran
strikingly	tidak biasa
downgrade	menghina
look back	melihat kembali
tumefy	gembung
ethnological	secara ilmu bangsa-bangsa
needless	berlebihan
ineffable	terlalu suci untuk dikatakan
forester	rimbawan
homonym	senama
plutocratic	plutokratic
cannery	pabrik makanan kaleng
topography	topografi
impracticability	hal yang tak terlaksanakan
modifier	modifier
lob	lob
Potsdam	Potsdam
Sargasso Sea	Laut Sargasso
superior	atasan
jeopardize	mengancam
bin	kaleng
notebook	buku
zebra finch	burung sawah
Negro	negro
cheat	menipu
passageway	terowongan
capitulation	kehilangan
burnish	kilat
Korean Peninsula	Korea
pissed	mabuk
spy	mata-mata
emotion	emosi
barrier	halangan
karat	karat
signboard	papan
Gothic	Gothik
inheritance	warisan
aggravate	menjadi . buruk
idiot light	mercu suar
calumny	fitnah
epee	pedang
sports jacket	jaket
etymological	etimologis
nostalgic	rindu kampung halaman
siemens	siemens
bronchus	saluran pernapasan
aesthetics	estetis
gingerbread	roti manisan jahe
seductress	wanita genit
Nagoya	Nagoya
Kansas City	Kansas City
Robin Hood	Robin Hood
commonly	biasa
mercy	pinta
side street	gang
go for	pergi untuk
dry	kering
wilderness	padang
crab	kepiting
lease	menyewa
initiate	hasut
smile	tersenyum
personality	kepribadian
dhole	ajak
steering	haluan
alligator	buaya
stove	kompor
fetal	hal-hal janin
naming	janji
carnage	pembunuhan
summarize	meringkaskan
abbot	kepala biarawan
optimist	optimis
prim	sangat sopan santun
humane	humanis
collie	anjing collie
laser	laser
pigmentation	pewarnaan
integral calculus	hitungan integral
needlework	ilmu kesejahteraan keluarga
electrocardiogram	kardiogram
blowjob	fellatio
corkscrew	kotrek
invertebrate	invertebrata
agonist	agonis
Valparaiso	Valparaiso
decorator	desainer
vanadium	vanadium
shithead	brengsek
blindness	buta
meticulous	terlalu teliti
aside	di suatu tempat
bogeyman	hantu
coincidence	koinsidensi
accident	kecelakaan
pardon	mengampuni
pervade	membahas
exploitation	penghisapan
convalescence	pemulihan kesehatan
ant	semut
appropriately	sewajarnya
colleague	kolega
Vanuatu	Vanuatu
Lyme disease	demam
consultant	penasihat
waitress	pelayan
