explanation	yorum
below	altında
intent	amaç
motherland	memleket
recount	anlatmak
soldier	asker
popular	popüler
faubourg	banliyö
hate	nefret etmek
undefined	belirsiz
eating	besin
complex	karmaşık
intoxicated	sarhoş
stigmatize	damgalamak
wholesome	sıhhatli
flamingo	flamingo
phrenology	frenoloji
chaffinch	bayağı ispinoz
gunboat	gambot
gnosis	Gnostik akidesi
smuggle	kaçakçılık yapmak
frizzy	kıvırcık
technology	teknoloji
chickenpox	suçiçeği
eel	yılan balığı
ESR	ESR
Principality of Liechtenstein	Lihtenştayn Prensliği
impedance	empedans
Dalmatian	Dalmaçya köpeği
commutative	sırabağımsız
herbal tea	bitki çayı
overturn	devirme
compete	yarışmak
capital punishment	ölüm cezası
ineffective	etkisiz
painless	acısız
coeval	akran
let go	aldırmak
antibody	antikor
cigarette	sigara
bacchanal	ayyaş kimse
baht	baht
Bacchus	Diyonisos
benign	merhametli
opulence	bereket
tube	boru
olfaction	burun
adventure	macera
constancy	dayanıklılık
preposition	ilgeç
acetify	ekşimek
schoolmaster	müdür
Nablus	Nablus
mellow	olgun yumuşak
antebellum	savaştan evvel
specialty	hususiyet
eggshell	yumurta kabuğu
bring forth	işlemek
alcove	kameriye
aspen	titrek kavak
vibe	ortam
suede	süet
deafness	sağırlık
mucosal	sümüksü
Tacitus	Tacitus
housekeeping	(program) önişlemleri
radio station	radyo istasyonu
genuineness	otantiklik
inquire	soruşturmak
manage	yönetmek
menstrual	adetle ilgili
sovereign	egemen
seize	tutmak
acquisition	alış
guanaco	alpaka
toss	atmak
approximately	yaklaşık
rime	kırağı
vertex	köşe
fosterage	besleme himaye
putrefy	çürümek
crevasse	büyuk yarık
satyr	çapkın erkek
paradise	cennet
kenning	çok küçük miktar
gout	gut
export	İhracat
windmill	donkişotluk yapmak
convoy	konvoy
spigot	musluk
gallon	galon
opt out	geri çevirmek
emigration	göç
automatism	otomatizm
hectare	hektar
administrative	yönetsel
culture	kültür
back up	yedeklemek
contact lens	lens
sociologist	sosyolog
female circumcision	sünnet
Exodus	Çıkış
Dobrich	Dobriç
postoperative	ameliyat sonrası
penance	kefaret ceza pişmanlık
lungfish	akciğerli balıklar
consult	danışmak
token	alamet
foe	düşman
sequester	ayırmak
Moon	Ay
duplicate	çoğaltmak
cancel	vazgeçmek
guillotine	giyotin
conjoin	bağlamak
keeper	kaleci
assure	temin etmek
harmless	tehlikesiz
bike	bisiklet
tauromachy	boğa güreşi
icecap	buzul
unstable	kararsız
stamina	dayanma gücü
gear wheel	dişli çark
quadripartite	dört taraflı
drug	ilaç
emirate	emirlik
pet	ev hayvanı
standpoint	görüş açısı
moth	güve
being	varlık
funicular	füniküler
gravedigger	mezarcı
flaky	tiftikli
ethanol	etanol
New Brunswick	New Brunswick
Bollywood	Bollywood
kerb	kaldırım kenar taşı
Zionism	siyonizm
hovercraft	hoverkraft
maintainable	bakılabilir
North Korean	Kuzey Koreli
theoretically	en iyi şekilde
Estonian	Estonca
Ukrainian	Ukraynaca
coordinate	koordinat
impetuosity	acelecilik
base	temel
grey-haired	ağarmış
acacia	akasya
intelligent	zeki
still	hâlâ
main	asıl
perry	armut şarabı
bamboo	bambu
formal	biçimsel
ergo	binaenaleyh
plowman	sabancı
seism	deprem
gamecock	dövuiş horoZu
influenza	grip
conquer	fethetmek
phonetics	fonetik
canopy	sayvan
clerk	memur
dimmer	ışık kesici reosta
doodle	karalama
fried	kızartılmış
afterbirth	meşime
nirvana	mutluluk
screwdriver	tornavida
auxiliary verb	yardımcı eylem
North Island	Kuzey Adası
by-election	ara seçim
paternity test	babalık testi
rune	rün
Islamist	İslâmcı
rotate	döndürmek
astute	basiretli
judge	yargıç
inferior	aşağı derecede olan
adrenaline	adrenalin
sheer	saf
pundit	bilgin
acknowledgement	alındı
wife	karı
strike out	çarpmak
ear	kulak
behead	boynunu vurmak
negligence	ihmal
meridian	meridyen
corruption	irtikap
chest of drawers	şifonyer
enclosure	ilişik
pedicel	çiçek sapı
evict	çıkarmak
pockmark	çopur
leprous	cüzzamlı
splendid	debdebeli
kneecap	diz kapağı
womb	rahim
prestidigitation	el çabukluğu
forefront	en öndeki yer
fervor	hararet
latent	gelişmemiş
Crete	Girit
torso	heykel gövdesi
hangar	hangar
frown	kaşlarını çatmak
biceps	iki başlı
unrequited	karşılıksız
molybdenum	molibden
nihilistic	nihilist
colour television	renkli televizyon
oviduct	yumurta geçidi
bathrobe	bornoz
liquorice	meyan
transponder	uydu alıcı-vericisi
butanol	bütanol
poor	yoksul
aptitude	yetenek
burl	ağaç
nation	millet
bank	banka
waffle	anlamsız konuşmak
nothingness	anlamsızlık
alleyway	ara sokak
association	cemiyet
pear tree	armut
ennoble	yükseltmek
insurgent	isyancı
horse racing	at yarışı
widget	parçacık
watch	bakmak
be	olmak
attest	şahadet
circumscription	bölge
dishwater	bulaşık suyu
duplication	çoğaltma
mendicant	derviş
curiosity	merak
criticism	tenkit
opportunity	fırsat
upcoming	gelen
aroma	güzel koku
skilled	mahir
neutron	nötron
windscreen wiper	sille
thermodynamic	termodinamik
cargo	yük
oscilloscope	osiloskop
pole star	Kutup Yıldızı
Dortmund	Dortmund
capybara	kapibara
vitamin B	B vitamini
rubber band	elastik şey
citric acid cycle	sitrik asit döngüsü
worsen	kötüleştirmek
Russian	Rusça
dungeon	zindan
grotesque	acayip
penitentiary	hapishane
persuasion	inanç
sanguine	al
wonted	alelade
impugn	aleyhinde bulunmak
underline	altını çizmek
corvee	angarya
biochemistry	biyokimya
partition	bölüm
defame	çamur atmak
keep on	devam
slide	kaymak
meat	et
tickle	gıdıklamak
ethnic	etnik
sightseeing	gezme
blithe	neşeli
love affair	ilişki
tricolour	İtalya
magma	magma
lettuce	marul
faucet	musluk
latitudinarian	mutaassıp olmayan
siesta	öğle uykusu
brain-teaser	soru işareti
baud	baud
Oligocene	Oligosen
osteoarthritis	artroz
moonlit	aylı
Republic of Uzbekistan	Özbekistan Cumhuriyeti
injustice	adaletsizlik
breathe	solumak
area	alan
wastewater	atık su
stole	şal
cheek	yanak
bartender	barmen
reparation	tazmin
expectant	bekleyen
embody	cisimlendirmek
broaden	genişlemek
unwholesome	sağlıksız
critical	buhranlı
campanile	campaniles
alive	canlı
undertaker	girişimci
director	yönetmen
incorporation	firma
shantytown	gecekondu bölgesi
nightgown	gecelik
sinner	günahkâr
hydrodynamics	hidrodinamik
satisfactory	kifayet
maxi	iri
time-out	mola
shaman	şaman
public law	kamu hukuku
flip-flop	kapan
high school	lise
aubergine	patlıcan
Indiana	Indiana
Gothenburg	Göteborg
Poseidon	Poseidon
subconsciousness	şuuraltı
source language	kaynak dil
candy apple	elma şekeri
trilobite	trilobitler
buffoon	soytarı maskara
aphelion	afel
ban	aforoz
whitewash	badanalamak
innocent	masum
product	ürün
consent	oybirliği
cotton	pamuk
drop-off	azalma
bloom	çiçek
horsepower	beygir gücü
inhibition	memnuiyet
expire	ölmek
ketch	çift direkli kotra
cartoon	karikatür
diathermy	diyatermi
poof	ibne
housekeeper	ev hanımı
catalogue	katalog
universalize	genellemek
expendable	gereksiz
immigrant	göçmen
guesthouse	han
incisor	kesicidiş
sternpost	kıç bodoslama
hub	kovan
shoeblack	kundura boyacısı
comet	kuyruklu yıldız
morphine	morfin
selected	seçilmiş
nameplate	tabela
ulcerous	ülserli
oddball	uzaylı
Hermaphroditus	Hermaphroditus
aggressiveness	saldırganlık
marathoner	maratoncu
seagoing	denize alışkın
manat	manat
Tangiers	Tanca
flush	kızartı
conical	konik
absurd	saçma
unload	açılmak
introduce	tanıştırmak
upstream	akışyukarı
bode	alamet olmak
chandler	dükkâncı
boyfriend	erkek arkadaş
inferiority complex	aşağılık kompleksi
suppress	bastırmak
braid	örmek
relic	kalıntı
Berlin	Berlin
Burma	Birmanya
dispel	defetmek
quickly	çabuk
percussion	çarpma
oasis	vaha
pencil	kalem
static	statik
slake	dindirmek
pliable	esnek
squaw	eş
Republic of Finland	Finlandiya Cumhuriyeti
ostensible	görünüşte
transgressor	günahkar
embankment	rıhtım
hostler	makinist
thermoelectricity	ısı elektriği
goatee	keçi sakalı
ill health	keyifsizlik
claret	kırmızı Bordo şarabı
prolonged	müzmin
anhydrous	susuz
Kali	Kali
Newari	Nevari
zoophilia	zoofili
angle of incidence	geliş açısı
prehensile	tutma yeteneği olan
thirst	susuzluk
harpy	harpia
honey fungus	ağız kavgası
ancillary	yardımcı
intelligence	akıl
advisedly	akıllıca
axilla	aksilla
enticing	cazip
soothe	yatıştırmak
anesthesia	anestezi
milestone	aşama
allowance	indirim
growl	homurtu
pat	elle vurmak
Homo sapiens	beşeriyet
reed	kamış
sawdust	talaş
coffin	tabut
passim	çeşitli yerlerde
ghost	hayalet
squirrel	sincap
succulent	sulu
pioneer	öncü
oarsman	kürekçi
orchestral	orkestra
well-founded	savunulabilir
sinusitis	sinüzit
fatness	şişmanlık
ballpark	tahmini
Timbuktu	Fizan
Kampala	Kampala
Neolithic	Yeni Taş Çağı
Hollywood	Hollywood
capacitive	sığal
carbon cycle	karbon çevrimi
numerical analysis	sayısal analiz
purser	yük memuru
Annunciation	Meryem’e Müjde
Mongol	Moğol
elaborate	ayrıntılı
smart	zeki
answer	cevap
assumption	tahmin
stanchion	ayak
recreate	canlandırmak
Atlas Mountains	Atlas Dağları
terrify	dehşete düşürmek
droplet	damlacık
monition	davet
sufficiency	yeterlilik
rhombus	eşkenar dörtgen
obsolescence	eskime
pharmacological	farmakolojik
officeholder	görevli
well-to-do	hali vakti yerinde
newel	işkence
pustule	kabarcık
haemorrhage	kanama
storey	kat
bobtail	kısa kuyruk
abbreviated	kısaltılmış
tappet	kol
salat	namaz
roll over	ölmek
propagandist	propagandacı
varmint	sefil adam
conveniently	uygun bir şekilde
yogurt	yoğurt
Austria-Hungary	Avusturya-Macaristan İmparatorluğu
Global Positioning System	GPS
Aleutian Islands	Aleut Adaları
polarization	polarizasyon
blood cell	kan hücresi
bottom quark	alt kuark
Holy Spirit	Kutsal Ruh
manic depression	manik depresyon
mandala	mandala
consequence	netice
underpass	alt geçit
residual	artık
dichotomy	çatallanma
drawer	çekmece
cephalic	sefalik
disfigure	çirkinleştirmek
sawmill	bıçkıhane
boson	bozon
tonality	boya
wimple	böyle atkı örtmek
meanwhile	bu arada
fill in	gidermek
musical instrument	müzik aleti
antinomy	çatışkı
assembly	meclis
abdicate	feragat etmek
demagogy	demagoji
expatriate	sürgün
riskless	emin ellerde
skim	sekmek
pregnant	hamile
nocturne	noktürn
smear	lekelemek
glottis	glotis
digger	toprak işçisi
legalise	haklı çıkarmak
audio	ses
middling	iyice
crescendo	kreşendo yapmak
Madrid	Madrid
populous	yoğun nüfuslu
option	tercih
water vole	tarla faresi
typhoid fever	tifo
lengthen	uzamak
lacquer	verniklemek
waistcoat	yelek
flamen	Eski Roma’da kâhin
Grus	Turna
mustard gas	hardal gazı
Bahraini	Bahreynli
ancestry	ata
con	aleyhtar
novel	roman
leadership	liderlik
parry	çürütme
beery	bira etkisiyle sarhoş
debtor	borçlu kimse
duct	gidişat
studious	çalışkan
lecher	zampara
cent	sent
discontent	hoşnutsuzluk
foyer	fuaye
tour	gezi
abroad	yurtdışı
mandate	manda
supposition	tahmin
fruition	gerçekleşme
dewlap	gerdan
shot put	gülle atma
election	seçim
vacillation	kararsızlık
bus stop	otobüs durağı
permanganate	permanganat
vellicate	seğirmek
bratwurst	velet
counterpane	yatak örtüsü
mainframe	anabilgisayar
humpback whale	Kambur balina
Edmonton	Edmonton
public relations	halkla ilişkiler
Hebrides	Hebridler
soda ash	gazlı içecek
refugee camp	göçmen kampı
charm quark	tılsım kuark
convince	convince
rum	içki
copper	bakır
transparent	şeffaf
ordinary	olağan
drollery	alay
discount	iskonto
outfit	üniforma
activate	etkinleştirmek
quicksand	bataklık kumu
blanket	battaniye
value	değer
country	ülke
notable	tanınmış
logistic	biçimsel
scrub	fırçalamak
imprudent	ihtiyatsız
thicken	kalınlaşmak
bulgur	bulgur
day	gün
neckerchief	fular
divinity	tanrı
hymnal	ilahi kitabı
van	ileri kollar
pimp	pezevenk
Caesarea	Kayseri
dune	kumul
suspicious	şüpheli
gastric	mideye ait
ingest	midesine indirmek
sluggard	tembel
ton	ses
Sophocles	Sofokles
shearwater	yelkovan
disambiguation	anlam ayrımı
Octans	Sekizlik
vector product	vektörel çarpım
docker	dok işçisi
voyeurism	röntgencilik
Zimbabwean	Zimbabveli
Jeremiah	Yeremya
lot	arsa
grasp	kavramak
routine	sıradan
traditional	geleneksel
inkling	ima seziş
infernal	cehenneme ait şeytanca
aspirator	aspiratör
countenance	görünüş
simile	denkleştirme
solidarity	dayanışma
fascinate	büyülemek
evade	sakınmak
rub	ovmak
Holland	Hollanda
bugbear	garez
veneration	hürmet
benchmark	denektaşları
cologne	kolonya
sparkling wine	köpüklü şarap
russet	koyu kırmızı
wolverine	kutup porsuğu
whoremonger	mama
peril	tehlike
hundred	yüz
Plutarch	Plutarkhos
astrophysicist	astrofizikçi
concatenate	ardarda bağlamak
cannibalism	yamyamlık
information science	bilgi bilimi
smoking	sigara içme işareti
simple	basit
lousy	bitli
recalcitrant	aksi
regiment	alay
liqueur	likör
pettifogger	aşağı sınıf avukat
lion	aslan
commission	komisyon
mew	miyav
haply	belki
speckle	çilli
information technology	bilişim teknolojisi
living	canlı
clack	tıkırtı
paradigm	paradigma
lastingly	daimi olarak
beckon	işaret etmek
dinosaur	dinozor
mend	onarmak
plateau	yayla
usurpation	zorla ele geçirme
gestalt	geştalt
pleasant	hoş
Greco-Roman	grekoromen
serving	hizmetçi
chalice	kadeh
skipper	süvari
French horn	külah
mastiff	mastı
Micronesia	Mikronezya
nail polish	oje
prejudiced	önyargılı
duckweed	su mercimeği
Devanagari	Devanagari
Death	Death
Achaea	Achaea
Caribbean	Karayipler
picosecond	pikosaniye
nonconformist	toplum kurallarına uymayan kimse
razor	ustura
familiar	teklifsiz
tempting	cazip
Orthodox	akılcı
abide	oturmak
plethoric	aşırı
tab	sekme
brazen	utanmaz
water strider	ayakkabıcı
once	bir zamanlar
callow	basık
approve	onaylamak
denounce	bozmak
broom	süpürge
teach	öğretmek
epic	destan
Gaul	Galya
advent	gelme
redemption	kefaret
practicable	yapılabilir
bowdlerize	ıslah etmek
papillose	kabarcıklı
settee	kanepe
littoral	kıyı
ingot	külçe
swimsuit	mayo
peruke	peruk
mountainside	yamaç
chevron	zikzak çıta
Persian Gulf	Basra Körfezi
scops owl	ishakkuşu
Azerbaijani	Azerice
quarry	av
mesh	ağ
template	şablon
general	general
plough	saban
verification	doğrulama
carom	bilardo oyununda karambol
no longer	bile
presently	birazdan derhal şimdi
idolater	putperest
gargantuan	doymaz
rumor	söylenti
chukker	devre
valid	geçerli
glimmer	ima
pry	gözetleme
holder	sahip
Madonna	Madonna
clasp	sarılmak
arsonist	kundakçı
usurer	tefeci
eleventh	on birinci
platypus	ornitorenk
Panama City	Panama
thermos	termos
thallium	talyum
titrate	titrasyon
sacristan	zangoç
tongue depressor	dil basacağı
congruent	eşleşik
all-knowing	herşeyi bilen
La Paz	La Paz
invisibleness	görülmezlik
lycanthrope	kurt adam
tribunal	mahkeme
dilate	açmak
crack	çatlak
decent	terbiyeli
shadow	gölge
crosspatch	aksi
alley	dar sokak
instep	ayağın üst kısmı
bosom	göğüs
bottle	şişe
header	üstbilgi
benzoate	benzoik asidin tuzu
pillage	çapulculuk
earthquake	deprem
tropic	dönence
seizure	nöbet
transmission	iletim
roseate	kırmızı
gracefully	ince
myalgia	kasınç
mathematical	kesin
cuttlefish	mürekkep balığı
organist	org çalan kimse
valediction	veda
subtotal	ara toplam
Pindar	Pindar
Parvati	Parvati
kidney stone	böbrek taşı
little grebe	küçük batağan
hadron	hadron
electric dipole	elektriksel iki uçlu
significant digit	anlamlı basamak
clouded	mağmum
Cappadocian	Kapadokyalı
clapperboard	çekim tahtasının
crow	karga
promulgation	açıklama
painful	ağrılı
inquest	anket
then	sonra
crap	bok
excoriation	aşındırma
fiery	ateşli
Slovakia	Slovakya
merge	birleştirmek
loam	balçık
stink	pis koku
steam	buhar
ferule	bu sopayla dövmek
old-fashioned	modası geçmiş
carefree	kaygısız
uphold	hemfikir olmak
dentist	diş tabibi
civilization	medeniyet
verisimilitude	ihtimal
seeing	görme
Zion	Hristiyan kilisesi
ropy	ipe benzer hal
Ionian Sea	İyon Denizi
glider	kayık
Londoner	Londralı
fencer	mancınık
monumental	masif
ape	maymun
pyrite	pirit
existentialism	varoluşçuluk
Dionysus	Dionysos
digestive tract	sindirim sistemi
isosceles triangle	ikizkenar üçgen
absorptivity	soğurma özelliği
electron volt	elektron volt
theory of relativity	görelilik kuramı
relatively	orantılı olarak
erogenous	cinsel istek uyandıran
subcontinent	kıtalardan küçük kara parçası
peptide	peptit
Linear A	Lineer A
sadness	üzüntü
fork	çatal
wordy	sözü uzatan
sleep with	yatmak
indication	belirti
quarter	çeyrek
Arctic	Arktika
slut	orospu
modicum	nebze
row	sıra
bauble	biblo
apprise	bildirmek
war	savaş
interpreter	tercüman
lass	kız
sough	ekmek
pagan	putperest
gospel	İncil
tactile	dokunulur
mauve	eflatun
epicardium	epikardiyum
fascism	faşizm
glasses	gözlük
cheerful	neşeli
hygiene	hijyen
underhanded	kurnaz
flawed	kusurlu
automate	makineleştirmek
earlier	önceden
sartorial	terzi kasına ait
babbitt	babbit
Setswana	Setsvana dili
ethnocentrism	yabancı düşmanlığı
White House	Beyaz Saray
black-necked grebe	kara boyunlu batağan
differential equation	türevsel denklem
nymphomania	aşırı seks arzusu
compass	pusula
acceleration	ivme
overlap	bindirme
unreasonable	abes
outrage	hakaret
anarchy	anarşi
tactful	anlayışlı
consecutive	ard arda gelen ardıl
flirtatiously	aşıkane bakmak
snort	çekmek
horse race	at yarışı
distrain	baskı yapmak
forenoon	öğleden evvel
firstly	bir kere
bunt	boynuz darbesi
booklet	kitapçık
most	en
sweeper	çöpçü
penis	penis
hand grenade	el bombası
yawl	yole
viceroy	genel vali
columbarium	güvercinlik
engraving	kesme
candor	içtenlik
rentier	irat sahibi
cambium	katman doku
creosote	kreozot
datum	veri
lastly	nihayet
concreteness	olguculuk
tacit	zımnî
French Canadian	Fransızca (Kanada)
Eurasian badger	Porsuk
farsightedness	hipermetropi
paraphilia	parafili
Nov	Kas
pager	çağrı cihazı
green tea	yeşil çay
finalize	bitirmek
detect	araklamak
muff	manşon
namesake	adaş
unclean	kirli
uppermost	akla ilk gelen
nonmetal	ametal
method	yöntem
strip	araklamak
husband	koca
singular	tekil
aromatic	aromatik
blip	benek
brochure	broşür
askew	çarpık bir şekilde
sway	egemenlik
obfuscate	gizlemek
excitement	galeyan
Ghana	Gana
cannonball	gülle
carbine	filínta
dividend	bölünen
worrisome	kaygılı
earring	küpe
vasectomy	vazektomi
Sagittarius	Yay
osteologist	osteolojist
Union of Soviet Socialist Republics	Sovyet Sosyalist Cumhuriyetler Birliği
treble	üçlemek
Syrian	Suriyeli
propitiation	tövbe etme
Judah	Yahuda
cannibal	yamyam
identity matrix	birim matris
mantelpiece	çıkma desteği
Provence	Provence
sister ship	kardeş gemi
southwest by south	lodos kerte kıble
partial differential equation	tikel türevsel denklem
translation	çeviri
Thai	Tayca
trouble	zahmet
obviously	açık
manner	usul
explore	araştırmak
lift	asansör
strap	atkı
turn away	azletmek
simplicity	basitlik
representative	mümessil
rivalry	rekabet
jihad	cihad
diaspora	diaspora
electrical	elektrikli
pennyroyal	filiskin
entrepreneur	girişimci
sunfish	ay balığı
economical	idareli
tadpole	iribaş
plywood	kontrplak
mutton	koyun eti
theorist	kuramcı
malaria	sıtma
pantheon	panteon
military police	polis
gallstone	safra taşı
salted	tuzlu
Tanzania	Tanzanya
perspire	terlemek
duster	toz bezi
varicose vein	varis
Eve	Havva
British Isles	Britanya Adaları
calmly	güzel güzel
Grenoble	Grenoble
Azeri	Azerice
coaxial	eşmerkezli
noun	isim
Afghanistan	Afganistan
prime	asal sayı
slip	patinaj yapmak
woodcraft	avcılık
admonish	azarlamak
intestine	bağırsak
debut	başlangıç
damn	lanetlemek
polka	benekli
module	modül
enslave	esaret
belfry	çan kulesi
translator	çevirmen
sexual relation	çiftleşme
jerkin	dar yelek
dative case	datif
rotor	döneç
prep	ev ödevi
triumphant	galip
preparedness	hazırlık
he	o
baddie	hırsız
tamarisk	Ilgın
den	in
malformation	sakat
Nazism	Nazizm
ocarina	okarina
pedicure	pedikür
agricultural	tarımsal
set point	ayar noktası
vocalic	sesli harf ile ilgili
expression	anlatım
knife	bıçak
paraphrase	şerh
camaraderie	arkadaşlık
wear	giymek
involve	bağlamak
specialist	bilirkişi
computer science	bilişim bilimi
fuzzy	bulanık
chug	bu sesi
mosque	cami
gangster	gangster
comport	davranmak
deranged	deli
generator	jeneratör
opportune	elverişli uygun
artisan	zanaatkar
malpractice	yolsuzluk
weather forecast	hava tahminleri
chorus	koro
large intestine	kalın barsak
back and forth	ileri geri
participation	katılım
Apocalypse	Kıyamet
loved	masraflı
mohair	moher
memorandum	not
windpipe	soluk borusu
pantomime	pantomima
parachute	paraşüt
Seine	Sen Nehri
voltmeter	voltmetre
oatmeal	yulaf ezmesi
Mumbai	Mumbai
Iberian Peninsula	İber Yarımadası
guacamole	guakamole
injectable	enjektabl
Hindi	Hintçe
beetle	böcek
masses	ahali
strike	grev
decoration	nişan
rainbow trout	gökkuşağı alabalığı
business	meslek
collect	toplamak
souvenir	hatıra
intersection	kavşak
unpaved	asfalt olmayan
conflagration	yangın
annihilate	bozmak
put forward	bildirmek
expertise	ustalık
penalize	cezalandırmak
demon	şeytan
holly	çobanpüskülü
sprawl	dağınık olmak
denationalize	devlet kontrolundan çıkarmak
ephedrine	efedrin
indigent	fakir
probably	muhtemelen
spectacular	gösteriş
fabrication	imalat
heredity	kalıtım
repentant	kederli
chyle	kilüs
entrench	kolay degişmez
syrinx	kuşların ses organı
pole vault	sırıkla yüksek atlama
cold war	soğuk savaş
Taoism	Taoizm
Magna Carta	Magna Carta Libertatum
steam boiler	su ısıtıcısı
Isles of Scilly	Scilly Adaları
deductible	düşülebilir
guest worker	gastarbeiter
voluntary muscle	istemli kas
